IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>
12626-7114;insucesso;2;2;0;0;0;17;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;0;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;20;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;9;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;2
13346-4434;insucesso;0;0;0;0;0;12;0;0;0;2;1;1;0;0;2;0;0;0;0;0;0;0;0;0;3;0;3;2;2;2;0;0;0;0;0;1;0;0;0;1;1;0;0;3;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;1;1;0;0;0;0;1;5;1;0;1;2;0;1;1;1;0;0;2;1;1;0;0;0;0;0;5;0;1;2;0;5;1;2;3;2;2;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;3;1;1;0;0;0;0
13405-5490;SUCESSO;2;1;1;1;0;135;5;0;1;1;0;0;1;1;14;0;12;0;4;1;1;0;0;0;44;1;12;4;1;1;5;5;1;0;7;1;1;1;0;0;0;0;0;7;1;1;1;1;0;0;1;0;0;1;1;1;0;1;0;1;23;4;1;1;10;2;3;2;1;4;2;1;2;26;2;0;0;18;1;8;3;2;1;1;2;0;3;1;0;0;0;0;107;4;3;1;0;34;0;1;12;4;2;2;2;0;0;2;1;0;0;14;11;0;4;3;2;0;26;3;0;0;7;2;0;4;2;3;1;1;0;0;2;1;1;1;11;0;0;0;13;7;2;5;5;7;2;2;0;5;0;4;4;0;0;0
1436-6400;SUCESSO;3;1;2;2;0;64;5;0;2;7;3;0;1;0;4;3;1;0;0;0;1;0;2;0;25;0;7;5;3;1;5;5;3;1;0;3;0;0;0;0;0;0;0;10;2;2;2;4;0;1;0;0;1;0;0;0;0;1;1;0;9;2;0;0;0;0;0;0;0;4;3;0;0;16;7;1;4;8;1;0;0;0;4;3;0;0;0;1;3;0;3;3;73;2;0;1;0;22;0;0;10;6;1;0;0;0;0;1;1;1;0;9;8;0;6;3;3;0;24;5;1;0;8;3;0;5;2;3;1;2;0;0;3;1;1;2;4;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
14770-5489;insucesso;2;2;0;0;0;13;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;1;2;3;0;1;1;1;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;11;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;2;1;0;0;2;1;0;2;1;1;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14932-4114;insucesso;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;1;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;2;1
15016-4433;insucesso;2;1;1;1;0;8;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;3;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;2;0;0;5;2;0;5;4;4;3;3;2;1;2;1;0;0;3;2;0;2;0;0;0;2;1;0;1;2;1;0;1;1;1;1;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15247-6400;SUCESSO;2;1;1;1;1;82;13;0;4;3;1;0;1;0;22;2;14;0;3;0;4;2;0;0;27;0;5;2;0;0;1;1;0;2;3;6;0;0;0;0;0;1;1;7;1;1;1;1;0;0;1;0;4;1;1;1;0;3;1;0;49;3;1;2;17;0;9;5;3;11;7;5;0;49;6;2;2;37;0;12;5;3;10;6;7;4;7;2;0;0;0;0;114;2;0;8;2;34;0;2;10;6;3;2;1;0;0;2;2;1;0;8;7;0;4;2;2;0;26;4;3;0;10;4;3;7;3;5;3;4;1;0;2;1;1;1;6;2;0;0;4;3;2;0;0;6;2;0;0;9;0;0;0;1;2;0
16014-5799;insucesso;0;0;0;0;0;16;2;0;0;2;2;0;7;5;0;0;0;0;0;0;0;0;2;1;7;0;2;1;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;6;0;0;0;3;0;3;0;3;0;0;0;0;3;7;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;1;1;1;14;0;1;0;0;3;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;1;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17228-6401;insucesso;1;0;1;1;0;31;5;1;0;9;4;0;0;0;5;0;5;0;3;0;0;0;0;0;9;0;5;5;2;0;5;4;1;0;2;0;0;0;0;1;1;2;2;14;1;1;1;6;0;4;0;0;0;0;0;0;0;0;0;0;13;2;0;0;5;0;3;1;0;1;1;3;0;10;1;0;1;10;1;5;3;1;0;0;0;0;0;0;0;0;0;0;14;0;2;1;1;6;2;0;5;2;0;0;0;1;1;2;2;0;0;6;6;3;2;2;1;1;6;3;1;2;2;1;1;2;1;1;1;1;0;0;1;0;0;1;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
