IdAluno;Resultado;11>;11>14>;11>48>;11>9>;11>9>11>;13>;14>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>31>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>7>;15>;15>31>;16>;16>31>;16>31>14>;16>31>30>;16>31>30>30>;16>31>48>;17>;17>30>;17>30>14>;17>30>31>;17>31>;2>;28>;28>30>;29>;29>14>;29>48>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>14>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>31>30>31>30>31>30>31>;30>31>48>;30>32>;30>41>;30>48>;30>48>31>;30>48>31>30>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>15>;31>16>;31>16>31>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>48>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>31>31>;31>31>41>;31>32>;31>41>;31>41>41>;31>41>41>41>;31>48>;31>48>29>;31>48>30>;32>;32>14>;32>14>31>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;36>;36>34>;36>34>37>;36>36>;36>36>34>;36>36>34>37>;36>36>36>;36>36>36>36>;36>37>;37>;37>34>;37>38>;38>;38>14>;38>31>;38>33>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;42>;48>;48>14>;48>14>31>;48>29>;48>29>48>;48>30>;48>30>30>;48>31>;48>31>30>;48>48>;48>48>48>;49>;49>14>;49>48>;49>49>;5>;6>;6>6>;7>;8>;9>;9>11>
11823-6547;SUCESSO;2;1;0;0;0;0;23;0;0;0;0;0;0;10;0;2;0;1;0;0;0;0;4;2;0;0;0;0;2;0;4;0;1;0;0;1;0;0;0;3;3;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;13;0;0;0;0;5;0;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;22;4;1;1;0;0;0;0;9;0;0;0;3;0;1;1;1;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;2;2;1;1;0;0;0;0;1;2;0;2;5;1;0;2;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1
13483-6547;SUCESSO;0;0;0;0;0;0;20;0;0;3;0;2;0;6;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;10;1;1;0;0;1;0;0;0;1;1;0;1;1;0;3;2;0;1;1;0;1;1;0;0;0;15;0;0;0;0;6;0;3;0;1;0;0;0;0;1;1;1;0;5;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;20;0;0;0;0;0;0;0;11;0;0;0;5;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;3;1;4;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
14874-6547;SUCESSO;2;0;0;1;0;0;12;0;0;0;0;0;0;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;1;0;0;3;3;0;3;1;0;2;1;0;1;1;0;0;0;1;0;0;18;0;0;0;0;7;0;4;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;18;0;0;0;0;0;0;0;11;0;0;0;5;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;12;0;0;2;0;0;2;0;1;1;1;0;2;0;0;0;1;23;0;4;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0
15054-7111;SUCESSO;1;1;0;1;0;0;17;1;0;0;0;0;0;9;0;5;0;3;1;1;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;3;3;0;1;0;0;2;1;1;0;1;0;0;0;1;0;1;11;1;0;0;0;7;0;1;0;1;1;1;1;0;0;2;1;0;3;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;17;1;0;0;0;0;0;0;8;0;0;0;5;0;1;1;1;1;2;0;2;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;0;1;0;1;0;0;0;0;0;3;0;0;1;1;0;0;0;0;2;0;1;0;0;1;0;9;3;2;0;1;1
15183-5786;insucesso;1;0;1;1;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;2;1;4;1;1;1;1;1;0;0;2;3;0;1;8;0;0;3;0;3;1;0;0;2;0;1;1;1;0;3;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1
15183-6547;insucesso;0;0;0;0;0;0;19;0;0;0;0;0;0;6;0;2;0;0;0;0;1;1;1;0;0;1;0;0;1;0;7;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15735-5786;insucesso;2;0;1;1;0;0;11;1;0;5;1;3;0;5;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;2;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;3;1;0;11;1;1;0;0;0;0;0;7;1;0;0;2;0;1;0;0;0;1;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;2;1;3;0;0;0;0;0;9;0;0;0;0;2;1;1;0;0;0;3;0;0;2;0;0;0;1;1;1;0
16627-6547;SUCESSO;2;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;1;0;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;1
17555-6395;SUCESSO;0;0;0;0;0;1;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18200-6547;insucesso;8;0;0;1;0;0;30;6;0;2;0;0;0;6;1;0;0;0;0;0;0;0;3;0;0;1;0;0;2;0;6;2;1;0;0;0;0;0;0;3;3;1;0;0;2;1;0;0;0;1;1;0;0;2;0;0;10;2;0;0;0;3;0;3;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;3;0;0;1;0;1;1;3;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;10;0;2;0;2;0;0;0;0;0;4;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
