IdAluno;Resultado;1>;11>;11>11>;11>14>;11>31>;11>48>;11>9>;11>9>11>;12>;14>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>14>14>;14>14>31>;14>14>41>;14>2>;14>3>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>39>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>7>;15>;15>31>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>31>;2>;2>14>;2>31>;2>41>;28>;28>30>;29>;3>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>41>;30>48>;30>48>31>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>15>;31>16>;31>16>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>48>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>31>31>;31>32>;31>38>;31>41>;31>41>41>;31>48>;31>48>30>;31>48>30>30>;32>;32>14>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;34>38>;36>;36>34>;36>34>37>;36>36>;36>36>34>;36>36>34>37>;36>36>36>;36>37>;37>;37>34>;37>36>;37>38>;38>;38>14>;38>14>31>;38>14>38>;38>31>;38>33>;38>36>;38>38>;39>;39>38>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;42>;46>;48>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>31>30>;48>48>;48>49>;49>;49>14>;49>48>;49>49>;49>49>48>;5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>5>;8>;9>;9>11>
11823-6547;SUCESSO;1;5;0;1;0;0;0;0;0;54;2;0;0;0;0;0;0;0;0;24;1;11;2;1;0;0;0;0;6;3;0;0;0;0;6;0;1;0;9;2;2;0;0;1;0;0;0;4;4;1;14;11;1;3;6;1;0;0;1;1;0;0;0;47;4;2;1;1;9;0;6;0;5;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;52;7;2;2;0;0;0;0;28;3;2;6;3;3;1;0;1;0;0;0;0;0;0;0;9;1;6;1;0;0;0;4;0;0;0;0;0;0;0;0;5;5;2;1;3;0;6;4;3;3;0;0;0;2;5;1;0;4;12;2;0;0;3;5;2;2;0;0;0;27;0;6;3;5;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
13483-6547;SUCESSO;1;2;0;0;0;0;0;0;0;59;2;0;3;0;0;2;0;3;0;30;1;20;0;2;1;0;3;0;1;0;0;0;0;0;2;1;0;0;16;1;1;0;0;1;0;0;0;3;3;3;9;7;0;1;8;1;0;0;3;3;0;0;0;53;1;1;1;0;11;0;5;0;3;1;0;0;4;0;19;0;14;2;6;0;0;0;1;2;0;64;6;1;1;1;0;0;0;43;1;1;10;3;2;1;0;11;0;8;0;0;0;0;0;3;0;2;1;0;0;0;3;0;1;1;0;3;0;2;2;3;3;1;1;1;1;5;0;0;0;0;0;0;2;3;1;0;1;9;4;2;0;1;3;1;0;0;0;0;47;3;3;1;8;1;2;1;0;1;2;5;0;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0
14874-6547;SUCESSO;1;2;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;7;0;5;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;18;2;1;0;0;0;1;0;0;3;3;3;10;6;0;4;5;0;0;0;1;1;1;1;0;33;1;0;0;0;9;0;5;0;2;1;0;0;0;0;5;0;3;1;0;0;0;0;1;1;0;38;2;0;0;0;0;0;0;20;0;0;7;4;2;1;0;1;0;1;0;0;0;0;0;3;0;2;1;0;0;0;3;0;1;0;0;3;3;0;0;4;4;2;1;0;1;33;1;0;6;0;0;4;4;4;3;0;1;9;1;1;0;2;1;0;0;0;0;0;54;1;5;3;4;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;3;0;0;1;0
15054-7111;SUCESSO;1;3;0;1;0;0;0;0;0;50;3;0;0;0;0;0;0;0;0;23;1;11;0;3;1;1;1;0;0;0;0;4;0;0;3;0;1;0;6;0;0;0;0;0;3;0;0;3;3;1;14;8;2;4;4;0;0;0;1;1;5;0;0;38;4;2;0;1;16;1;3;0;3;1;1;1;4;0;6;0;4;2;1;0;0;0;0;0;0;44;6;2;0;0;0;0;0;21;0;0;6;1;1;1;1;2;0;2;0;0;0;0;0;3;2;0;0;1;0;1;0;0;5;0;0;3;1;2;1;3;3;2;2;0;0;5;0;0;0;0;0;0;2;4;1;0;0;6;0;0;0;0;1;2;0;0;0;0;24;0;1;0;3;0;1;1;0;0;4;8;1;5;0;0;0;0;2;0;1;0;0;0;0;0;9;3;1;0;4;0;0;1;0
15183-5786;insucesso;0;2;0;0;1;1;1;1;0;29;0;0;1;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;1;1;0;4;0;2;1;0;1;0;0;0;0;0;0;4;1;0;3;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2;1;1;1;5;5;3;3;2;0;8;2;2;1;1;1;0;3;5;0;0;2;13;1;0;0;0;5;0;0;0;0;0;8;2;1;0;4;0;1;1;1;0;0;3;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1
15183-6547;insucesso;0;2;1;0;1;0;1;0;0;39;1;0;0;0;0;0;0;5;0;10;0;3;0;1;1;0;1;1;1;0;0;2;0;0;2;0;0;0;14;0;2;0;0;0;1;0;0;2;2;0;1;0;0;1;5;0;2;0;0;0;0;0;0;10;2;1;0;0;2;1;2;1;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;22;1;1;0;0;0;1;1;5;0;0;1;1;1;0;0;2;0;1;0;0;0;0;0;4;0;0;0;2;0;0;1;0;3;2;1;0;0;0;0;2;2;2;1;0;0;2;0;0;0;0;0;0;1;2;0;0;1;6;0;0;0;0;2;0;0;0;0;0;23;0;1;0;4;1;0;0;0;0;0;4;1;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0
15735-5786;insucesso;0;2;0;0;0;1;1;0;1;37;1;0;16;3;1;7;4;1;0;18;1;6;0;1;1;0;0;0;2;1;0;2;1;1;1;1;0;0;10;1;3;1;0;1;0;0;0;2;2;0;9;6;0;2;1;0;0;0;1;0;0;0;0;29;3;1;0;0;7;0;3;0;1;1;1;0;0;2;4;0;2;0;0;0;0;0;0;8;1;36;2;2;0;0;0;0;0;19;1;0;4;2;1;0;0;3;0;1;0;0;0;0;4;4;0;2;0;0;0;0;0;0;5;1;0;1;0;1;0;3;2;1;1;1;0;2;0;0;0;0;0;0;1;2;0;1;1;5;2;0;1;0;3;0;0;0;0;0;31;1;5;3;8;1;1;0;0;0;0;21;2;0;3;1;2;1;3;1;4;0;1;3;1;0;0;0;0;0;1;0;1;1;0
16627-6547;SUCESSO;1;3;0;0;0;0;0;0;0;35;0;0;3;0;0;1;0;1;0;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;14;1;3;0;1;3;1;0;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;2;0;14;0;0;0;0;5;0;2;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;17;1;0;0;1;0;0;0;6;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;6;0;3;3;1;0;0;0;0;2;2;0;0;0;0;0;2;2;1;1;1;0;4;1;0;0;0;0;0;1;2;0;0;0;9;1;0;0;2;1;1;1;0;0;0;44;0;1;0;4;0;1;0;0;0;1;10;0;0;2;0;0;0;2;0;4;0;0;0;0;1;1;0;0;0;4;1;0;1;0
17555-6395;SUCESSO;1;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;1;0;15;0;10;1;0;0;0;0;0;3;1;0;1;0;0;2;0;1;0;2;1;0;0;1;0;0;0;0;1;1;0;14;11;2;2;4;0;0;0;1;0;0;0;0;28;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;23;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;6;1;1;0;1;0;0;0;0;1;3;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18200-6547;insucesso;0;10;1;0;0;1;1;0;1;61;7;0;3;0;0;1;0;2;0;26;2;11;0;2;0;0;0;0;3;1;0;1;0;0;3;1;0;0;10;3;1;0;0;0;0;0;0;4;4;0;3;2;0;1;2;0;0;0;1;0;3;0;0;24;5;1;1;0;6;2;4;1;2;2;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;41;4;0;0;1;0;1;1;15;3;0;4;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;1;0;0;0;6;4;2;1;0;1;1;1;1;0;0;1;0;8;1;1;1;1;1;0;0;1;0;1;0;6;3;0;0;0;0;0;0;0;0;0;18;0;3;0;2;0;0;0;0;0;0;6;0;3;4;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
18344-4912;insucesso;0;2;0;0;0;2;1;0;0;22;2;2;1;0;0;0;0;0;0;12;2;9;0;3;2;0;3;3;1;0;1;0;0;0;0;0;0;0;3;0;1;0;1;4;0;0;0;3;3;3;2;1;0;1;0;0;0;0;0;0;0;0;0;16;2;2;2;0;8;0;5;0;3;2;2;0;0;1;7;1;5;2;2;2;2;2;0;4;1;19;3;1;0;0;0;0;0;15;2;2;7;4;2;0;0;7;1;5;2;2;2;2;2;1;0;1;0;1;2;0;2;1;0;0;0;2;2;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;1;0;1;14;0;2;1;2;1;0;0;0;0;0;7;4;0;0;0;1;1;1;1;5;3;2;0;0;0;0;0;0;0;0;0;0;1;0
