IdAluno;Resultado;1>;11>;11>9>;13>;14>;14>11>;14>14>;14>14>14>;14>14>31>;14>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>7>;14>8>;16>;16>31>;16>31>30>;17>;17>30>;17>30>30>;17>31>;17>31>31>;2>;2>14>;28>;28>30>;29>;29>48>;3>;30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>;32>14>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>37>;34>38>;36>;36>34>;36>34>37>;36>36>;36>36>34>;36>37>;36>38>;37>;37>34>;37>36>;37>38>;38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;39>;4>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;42>;46>;48>;48>13>;48>14>;48>29>;48>29>48>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;49>;49>14>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;8>;8>7>;9>
10461-4428;SUCESSO;1;5;1;0;98;2;8;0;4;3;33;0;10;1;2;1;1;2;0;0;0;5;0;0;14;1;2;0;0;0;1;0;4;4;4;7;3;0;3;0;7;1;1;1;0;0;0;29;5;2;1;10;1;6;3;3;2;1;6;0;3;0;0;0;2;2;66;3;0;0;0;20;2;1;7;6;3;3;2;1;0;0;0;6;1;0;0;0;5;1;0;1;3;1;2;0;5;5;3;3;0;2;6;2;0;0;0;3;0;7;0;0;2;14;2;0;0;5;1;3;1;0;54;0;7;0;13;3;4;1;0;3;8;0;2;0;0;2;1;0;2;1;0;0;0;0;1;1;0;0;0;2;0;1;0;0;1
10546-4428;SUCESSO;0;1;0;0;49;1;0;0;0;1;11;0;2;0;0;0;0;2;0;0;0;4;1;0;7;1;0;0;0;2;0;0;3;3;1;4;0;0;4;0;6;3;1;0;8;3;0;14;0;0;0;11;0;8;5;3;2;1;2;0;2;0;0;0;2;0;39;1;0;0;0;8;0;0;4;3;3;1;1;1;0;0;0;7;1;1;1;1;4;2;0;2;2;0;0;0;5;5;0;0;2;1;6;2;2;0;0;2;1;4;2;0;1;14;4;0;2;3;0;1;2;1;36;0;5;0;10;2;3;1;0;0;13;0;0;7;1;2;2;0;1;1;5;0;3;3;0;0;0;0;0;0;0;0;0;0;0
11823-6547;SUCESSO;1;5;0;0;54;2;0;0;0;0;24;1;11;2;1;0;0;6;0;0;0;6;0;1;9;2;2;0;0;1;0;0;4;4;1;14;11;0;3;0;6;1;1;1;0;0;0;47;4;2;1;9;0;6;5;1;0;0;1;0;0;0;0;0;2;0;52;7;2;0;0;28;3;2;6;3;3;1;1;0;0;0;0;9;6;0;0;0;4;0;0;0;0;0;0;0;5;5;2;1;3;0;6;4;3;3;0;2;0;5;1;0;4;12;2;0;3;5;2;2;0;0;27;0;6;3;5;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
12849-4224;SUCESSO;1;10;1;0;98;4;8;0;2;2;41;1;13;5;0;0;1;3;8;0;0;12;2;0;12;3;4;1;0;0;0;0;4;4;2;8;4;0;4;0;7;1;3;2;10;1;0;33;13;5;3;4;2;2;1;1;0;0;5;0;4;2;0;0;0;2;68;2;1;0;0;27;10;3;3;2;1;1;3;2;0;0;0;5;2;1;0;2;1;15;9;1;1;0;1;1;4;4;0;0;2;2;10;3;2;0;0;0;2;3;0;0;2;21;4;1;3;3;3;3;3;0;37;5;5;2;11;1;4;1;1;1;25;0;5;10;1;2;0;0;4;1;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1
13036-4429;insucesso;0;0;0;0;30;0;3;2;1;0;9;0;3;2;0;0;0;1;0;0;0;2;0;2;3;0;0;0;2;0;0;0;1;1;1;1;0;0;1;0;2;1;0;0;0;0;0;12;2;0;0;7;0;4;3;1;0;1;2;0;2;1;1;0;0;2;19;0;0;0;0;9;2;0;4;3;2;0;1;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;1;2;1;0;1;0;1;0;2;1;1;0;5;0;0;0;2;1;0;0;0;7;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
13483-6547;SUCESSO;1;2;1;0;59;2;3;0;2;3;30;1;20;0;2;1;3;1;0;0;0;2;1;0;16;1;1;0;0;1;0;0;3;3;3;9;7;0;1;0;8;1;3;3;0;0;0;53;1;1;1;11;0;5;3;1;0;4;19;0;14;6;0;0;1;2;64;6;1;0;1;43;1;1;10;3;2;1;11;8;0;0;0;3;2;0;1;0;3;1;0;1;3;0;2;2;3;3;1;1;1;1;5;0;0;0;0;2;0;3;1;0;1;9;4;2;1;3;1;0;0;0;47;3;3;1;8;1;2;1;1;2;5;0;0;0;0;2;0;0;2;1;1;0;0;1;0;0;0;0;0;2;0;0;0;0;1
14770-4429;SUCESSO;1;2;1;0;36;1;13;0;3;0;10;0;2;0;1;1;0;1;0;1;0;3;0;0;10;1;3;2;0;0;1;0;2;2;0;4;1;0;3;0;4;0;2;0;0;0;0;15;3;1;1;5;0;4;2;0;0;1;3;0;0;0;0;0;1;0;33;2;1;0;0;6;0;0;2;1;1;0;1;0;0;0;0;9;3;3;0;0;1;3;0;2;2;1;1;0;7;7;2;1;3;0;9;3;3;0;0;2;2;6;1;0;2;15;3;1;1;6;1;3;0;0;27;0;2;0;6;0;2;1;0;1;4;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
14874-6547;SUCESSO;1;2;1;0;36;0;0;0;0;0;7;0;5;0;2;1;1;0;0;0;0;1;0;0;18;2;1;0;0;0;1;0;3;3;3;10;6;0;4;0;5;0;1;1;1;0;1;33;1;0;0;9;0;5;2;1;0;0;5;0;3;0;0;0;1;1;38;2;0;0;0;20;0;0;7;4;2;1;1;1;0;0;0;3;2;0;2;0;3;1;1;0;3;3;0;0;4;4;2;1;0;1;33;1;0;6;0;4;1;4;3;0;1;9;1;1;2;1;0;0;0;1;54;1;5;3;4;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;0;0;0;0;1
14884-4428;insucesso;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;3;0;2;1;1;0;0;2;0;1;1;1;0;0;0;5;0;0;0;0;3;0;0;1;0;0;0;2;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15016-4428;SUCESSO;0;1;1;0;24;0;2;0;1;1;8;0;0;0;0;0;0;1;0;0;0;3;1;2;4;0;4;4;0;0;0;0;2;2;0;0;0;0;0;0;4;1;0;0;0;0;0;3;1;0;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;18;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;0;0;0;0;0;3;3;2;0;1;0;11;1;1;2;0;0;2;3;2;0;0;5;2;1;0;3;0;0;0;0;9;0;4;1;5;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
