IdAluno;Resultado;1>;14>;14>14>;14>14>31>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>14>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>49>;14>49>48>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>2>;2>2>31>;2>2>31>30>;2>2>41>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;28>;28>30>;29>;3>;3>14>;3>2>;3>2>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>;31>14>;31>14>41>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;38>;41>;41>14>;41>2>;41>2>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>7>;42>;46>;48>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>;8>
10088-5714;insucesso;0;14;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;1;0;0;2;1;0;2;1;0;0;0;1;1;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;2;0;0;0;0;0;0;13;0;2;0;4;0;4;0;1;3;3;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0
110-7098;insucesso;0;8;0;0;2;0;0;1;0;0;0;0;0;4;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;4;4;0;0;6;0;0;0;0;1;1;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;13;0;0;0;0;0;2;2;2;5;0;0;4;0;3;1;1;0;0;0;0;1;2;1;0;0;1;12;0;0;2;6;0;3;2;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;2;1;1;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;1;0
11091-6388;SUCESSO;0;27;0;0;2;0;0;1;0;0;0;0;0;8;0;6;0;3;2;2;2;0;0;2;0;0;0;0;5;2;0;1;1;0;0;0;0;1;0;0;0;0;0;2;1;0;1;10;0;0;0;0;3;0;0;1;0;2;1;1;1;0;0;0;0;0;0;0;0;15;1;0;1;0;0;0;0;0;9;1;0;6;1;5;4;4;4;3;1;1;0;1;0;0;1;0;16;0;0;0;12;0;8;6;5;4;4;4;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;15;0;2;1;2;2;7;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;0;0;4;0;0;2;2;1;0
11848-6398;insucesso;0;17;0;0;3;1;0;1;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;4;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;1;9;1;0;0;6;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0
11848-7098;SUCESSO;1;11;0;0;2;0;0;1;1;0;0;0;0;5;0;5;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;0;0;5;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;11;2;0;1;1;0;0;0;1;3;1;0;2;1;1;0;0;0;0;0;0;0;2;1;0;0;2;10;1;0;0;8;1;3;2;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12526-6388;SUCESSO;0;9;0;0;2;0;1;0;0;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;3;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;7;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13005-6398;SUCESSO;0;12;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;7;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;13;1;0;0;1;0;4;0;1;1;0;0;1;0;0;3;0;0;2;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0
13142-6388;SUCESSO;0;49;2;0;8;0;3;1;1;0;0;0;0;25;0;12;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;2;1;2;0;0;0;0;0;7;4;1;0;12;3;1;0;0;3;2;0;0;0;4;3;1;0;0;0;0;3;0;0;0;0;23;4;2;1;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;40;3;0;0;17;2;3;0;0;0;0;0;0;0;1;1;0;0;0;0;3;1;2;2;1;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;3;3;1;2;1;4;2;1;0;1;0;0;2;0;0;2;1;0;0;0;1;0
13179-5714;SUCESSO;1;19;1;0;4;1;2;0;0;0;1;0;0;4;0;1;0;0;0;0;0;0;1;0;0;0;0;0;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;5;1;0;1;0;1;1;0;3;0;0;0;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;1;0;2;3;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2;1;0;0;0;0;10;0;3;1;3;1;3;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
13298-7098;insucesso;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
