IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>38>33>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;14>7>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>1>;2>1>46>;2>14>;2>14>2>;2>14>41>;2>2>;2>2>31>;2>3>;2>31>;2>31>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;34>36>;34>38>;36>;36>14>;36>34>;36>34>38>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>;38>14>;38>33>;38>36>;38>41>;39>;39>38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
10088-5714;insucesso;0;0;0;0;0;23;1;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;12;3;0;5;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;1;0;1;1;0;2;1;0;3;1;0;0;0;1;1;0;6;3;0;3;0;0;0;2;1;2;0;1;0;0;0;0;0;0;0;1;1;12;1;1;3;0;1;1;0;0;0;0;0;0;1;1;0;1;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;2;0;0;24;0;5;5;1;3;8;1;2;3;3;0;0;0;0;0;3;0;0;3;0;0;0;0;0;4;4;0;0;0;4;4;4;0;
110-7098;insucesso;0;0;0;0;0;13;0;4;0;1;1;0;0;0;4;0;1;0;1;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;1;1;0;4;4;0;0;9;0;0;0;0;0;2;1;1;4;2;0;1;0;0;0;1;1;0;0;14;0;0;0;2;0;3;5;0;4;0;3;1;1;0;0;0;2;1;0;1;14;0;3;7;0;3;2;2;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;2;0;1;0;2;1;1;1;0;0;0;0;3;1;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;2;1;0;0;0;0;0;0;2;0;0;4;0;0;1;
11091-6388;SUCESSO;1;1;0;0;0;56;1;2;0;0;1;0;0;0;12;0;9;0;5;4;3;0;0;0;0;4;0;1;10;2;0;2;1;2;1;3;0;0;0;0;2;1;0;1;13;0;0;0;0;0;3;0;0;2;1;0;2;0;1;1;0;0;0;0;22;5;2;0;0;0;0;13;2;9;1;7;6;5;4;2;2;2;1;2;0;23;0;0;17;0;12;9;7;6;5;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;15;0;1;0;5;0;1;0;0;0;0;1;8;0;1;3;2;0;0;36;0;2;2;2;1;14;0;2;5;2;0;1;1;1;0;3;0;0;0;0;3;1;2;1;6;5;5;0;0;8;5;5;2;
11848-6398;insucesso;1;0;1;1;0;34;5;5;1;0;1;0;1;0;2;0;2;0;1;0;0;0;0;0;0;1;1;0;7;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;10;0;0;2;0;0;0;0;0;1;1;0;1;0;0;0;0;2;0;0;12;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;1;0;2;1;10;1;0;7;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;6;0;1;0;3;0;1;0;0;0;0;0;2;0;1;0;0;0;0;19;0;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;
11848-7098;SUCESSO;1;0;1;1;0;18;1;2;0;0;1;0;0;0;6;0;6;1;2;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;2;2;0;0;6;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;12;2;1;0;0;0;1;4;1;3;1;2;0;0;0;0;0;2;1;0;2;11;1;0;9;1;4;3;2;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;6;0;1;1;3;0;3;2;1;1;1;0;2;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
12526-6388;SUCESSO;1;0;1;1;0;21;0;6;0;1;0;0;0;0;6;0;3;0;3;2;2;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;9;7;0;1;7;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2;0;2;14;2;0;0;0;0;0;5;2;3;1;2;1;0;0;0;0;0;0;0;0;10;0;0;4;0;4;2;2;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13005-6398;SUCESSO;2;1;1;1;0;25;0;7;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;8;0;0;4;2;0;0;0;0;1;1;0;0;0;0;0;22;1;1;2;0;0;4;0;0;2;0;0;3;0;0;0;0;1;0;0;5;0;0;0;0;0;0;2;0;2;0;1;1;1;1;0;0;1;0;0;0;6;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;2;1;1;2;0;0;31;1;4;2;1;0;10;0;2;3;1;0;2;1;1;1;3;0;0;2;0;1;1;1;1;0;0;0;0;0;1;0;0;0;
13142-6388;SUCESSO;1;1;0;0;0;80;3;13;0;3;2;0;0;0;28;0;15;2;2;1;0;0;0;0;0;4;0;0;3;0;0;0;0;3;1;2;0;0;0;0;8;5;1;0;20;0;0;4;0;1;3;0;0;5;3;0;2;0;1;1;3;2;0;2;31;5;1;0;0;0;1;5;1;1;0;0;0;0;0;0;0;1;1;1;1;50;4;1;24;2;5;1;0;0;0;0;0;0;1;1;0;0;3;2;2;1;2;0;0;0;8;1;0;0;4;0;2;1;1;1;1;0;7;1;1;0;2;1;1;18;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;10;3;3;1;3;4;2;1;0;0;0;2;0;0;2;0;0;1;
13179-5714;SUCESSO;1;1;0;0;0;28;1;6;1;3;0;0;1;0;8;0;5;0;1;1;0;1;0;0;0;2;0;0;5;0;1;1;1;0;0;0;0;0;0;0;2;2;1;0;13;0;0;2;0;0;7;0;0;1;1;0;5;0;0;0;0;3;0;1;11;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;3;1;0;0;19;1;2;9;0;1;1;0;0;0;3;1;0;0;2;1;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;13;0;3;4;1;0;4;0;1;2;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
13298-7098;insucesso;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
