IdAluno;Resultado;1>;14>;14>14>;14>14>31>;14>2>;14>2>14>;14>2>2>;14>2>2>31>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;17>30>31>;2>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>41>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>;32>31>;32>31>30>;38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>7>;42>;46>;48>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>;8>
10127-5469;SUCESSO;0;25;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;1;5;2;0;0;0;0;0;1;1;1;0;0;0;0;0;6;1;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;26;0;4;4;0;10;0;2;6;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
10786-5469;SUCESSO;0;10;1;1;4;0;2;0;1;1;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;0;1;5;0;0;0;0;3;2;0;0;3;1;1;1;0;0;0;0;0;5;2;2;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;2;2;1;0;0;0;10;0;0;1;4;1;2;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110-7098;insucesso;0;8;0;0;2;0;0;0;1;1;0;0;0;4;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;4;4;0;0;0;6;0;0;0;0;1;1;0;0;3;1;0;0;0;1;0;0;0;13;0;0;0;0;0;2;2;2;5;0;0;4;0;3;1;1;0;0;0;0;2;1;0;0;0;1;12;0;0;2;6;0;3;2;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;2;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0
11848-7098;SUCESSO;1;11;0;0;2;0;0;0;1;1;0;0;0;5;0;5;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;2;2;0;0;2;5;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;11;2;0;1;1;0;0;0;1;3;1;0;2;1;1;0;0;0;0;0;0;2;1;0;0;0;2;10;1;0;0;8;1;3;2;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13016-5468;insucesso;0;22;2;0;3;2;1;0;0;0;1;0;0;8;2;5;0;4;4;4;0;0;0;0;0;1;0;0;4;0;0;2;1;0;0;2;1;1;1;1;1;5;5;0;0;0;5;2;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;23;1;1;0;0;0;2;2;0;12;0;0;8;0;6;4;3;0;0;3;0;4;3;0;0;0;0;16;2;1;0;11;0;7;6;5;3;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;8;0;0;0;0;3;0;0;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;0;0;2;2;0;0
13179-5388;insucesso;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13190-5468;SUCESSO;0;24;0;0;1;0;0;0;0;0;0;0;0;5;1;2;0;1;0;0;0;0;0;0;0;1;0;0;4;0;0;1;1;0;0;0;0;0;1;1;0;8;8;1;0;0;9;1;0;0;1;1;1;0;0;3;1;0;1;0;0;0;0;0;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;13;2;0;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;0;0;0;8;0;0;1;0;4;0;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13298-7098;insucesso;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13342-4130;insucesso;1;11;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;0;0;10;2;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13342-5468;SUCESSO;1;26;0;0;4;1;0;0;0;0;1;0;0;9;0;7;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;3;0;0;2;2;2;12;11;2;1;0;6;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;27;4;1;1;1;1;4;4;0;4;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;13;1;0;0;10;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;2;0;0;0;0;0;0;0;4;9;1;0;0;3;1;0;0;0;0;0;0;0;11;1;1;3;1;0;0;0;0;0
