IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>45>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>7>6>;14>8>;14>8>7>;16>;16>31>;16>31>14>;16>31>30>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>;43>14>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;43>44>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>14>43>44>44>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>14>43>;44>44>14>43>44>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>14>;44>44>44>44>44>44>;44>44>44>44>44>44>14>;44>44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;5>5>5>;6>;6>14>;6>6>;6>6>6>;6>6>6>6>;6>6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;7>7>;8>;8>7>
13346-4434;insucesso;0;0;0;0;9;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;3;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
15016-4433;insucesso;1;1;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;1;0;2;1;1;1;1;2;2;1;2;1;0;0;3;0;2;0;2;0;0;0;0;0;0;2;1;0;0;1;1;1;1;2;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20796-4435;SUCESSO;1;0;1;1;26;0;0;3;0;0;0;0;3;0;1;0;1;0;0;0;1;0;0;0;0;5;1;0;0;0;0;1;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;6;1;1;1;2;0;1;0;0;1;0;0;0;0;2;1;0;9;1;0;0;6;1;2;2;1;1;1;1;0;0;0;0;0;0;0;1;11;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;1;0;0;0;27;0;0;3;0;0;10;0;2;4;3;3;1;0;0;0;0;0;0;0;0;5;0;2;0;1;0;1;0;0;0;0;6;1;0;0;0;0;0;0;3;1;0;0;0;2;1;2;1;1;0;0;0;0;1;1;1;0;0;1;8;0;2;2;3;1;1;5;4;0;0;0;0;0;0;0;5;0;3;3;0;1;0;0
21321-4434;insucesso;2;2;0;0;32;2;2;3;0;1;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;15;3;2;0;0;0;1;1;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;0;1;2;2;2;0;0;0;0;12;3;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;10;0;0;0;9;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;23;0;2;1;0;0;7;1;1;5;1;0;0;0;1;1;1;1;1;0;0;4;0;4;1;2;1;1;0;0;0;0;4;2;2;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;2;0;13;0;0;7;4;3;1;0;0;0;8;1;4;2;1;1;5;0;0;0;1;0;0;0
21955-4603;insucesso;1;1;0;0;27;0;0;2;1;0;0;0;4;1;4;1;0;0;1;1;0;0;0;0;0;8;1;1;0;0;0;2;2;2;1;0;0;1;0;2;1;1;1;0;0;1;1;0;0;0;0;2;0;0;0;2;0;1;0;0;0;1;1;1;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;10;3;1;1;6;1;0;0;0;0;0;2;2;2;2;0;1;0;0;0;0;4;1;1;0;0;22;0;0;1;0;0;4;0;1;2;0;0;0;0;0;0;0;0;0;0;0;5;1;4;3;2;1;1;1;1;1;0;9;3;0;0;2;2;1;0;2;2;0;2;2;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;5;3;0;0;3;1;1;2;2;0;4;1;2;1;0;0;3;0;1;1;1;0;0;0
22423-4434;SUCESSO;1;1;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;6;2;2;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22433-4434;insucesso;1;0;1;1;10;2;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;12;1;1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22525-4435;SUCESSO;2;1;1;0;13;1;0;1;0;0;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;0;1;0;0;1;0;0;1;1;1;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22612-4603;insucesso;1;0;1;1;12;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22787-4435;SUCESSO;1;1;0;0;12;0;0;1;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;1;1;0;2;1;2;7;0;0;0;2;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;4;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;16;0;1;1;0;1;3;1;0;1;0;0;0;0;0;0;0;2;2;2;2;2;0;2;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0
