IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;13>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>3>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>32>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>31>30>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>7>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>2>;2>2>14>;2>3>;2>3>2>;2>3>2>14>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;3>2>14>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;31>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>41>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>41>;31>31>;31>31>31>;31>32>;31>32>14>;31>32>31>;31>32>31>30>;31>32>31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>14>;32>31>30>;32>31>30>31>;32>31>32>;32>31>32>31>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>31>30>41>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>7>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>41>;43>44>44>;43>44>44>44>;43>44>44>44>14>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>14>43>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;48>;48>13>;48>14>;48>48>;48>49>;49>;49>14>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;6>6>6>6>6>;7>;7>5>;7>5>5>;7>6>;8>;8>7>
17491-4917;insucesso;1;0;0;0;0;0;25;1;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;0;3;1;0;0;0;0;0;0;17;0;1;0;0;0;0;7;1;0;0;2;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0
18607-4917;SUCESSO;1;1;0;0;0;0;8;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;5;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21361-4917;SUCESSO;3;0;0;3;3;0;48;0;0;7;0;1;0;0;0;0;2;0;1;0;0;0;0;15;0;0;0;2;1;0;5;5;2;1;0;0;0;1;1;1;0;0;10;2;2;2;3;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;5;4;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;45;0;0;1;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;8;1;0;4;1;0;1;0;0;22;1;0;1;1;0;8;0;0;0;2;0;0;1;0;0;0;0;3;0;0;0;3;2;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;2;2;1;0;0;0
21629-5061;insucesso;1;0;0;1;0;0;33;3;0;9;0;1;0;0;0;0;7;0;4;0;2;0;0;3;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;15;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;2;0;10;3;3;4;0;4;0;5;5;0;21;0;0;0;0;16;0;0;8;2;2;2;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;23;0;0;4;0;3;3;8;0;3;2;2;1;1;0;0;1;1;1;1;6;0;0;4;0;1;3;3;0;2;2;2;5;1;1;0;0;1;3;1;1;0;3;1;1;2;1;2;2;0;1;0;0;0;0;2;0;0;1;0;1;0;1;1;4;4;1;0;0;0;0;5;4;4;0;0;0
22271-4917;insucesso;0;0;0;0;0;0;13;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;0;0;3;0;0;0;2;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26940-4917;SUCESSO;1;1;0;0;0;0;33;4;1;3;1;0;0;0;0;0;5;3;0;0;0;1;0;9;2;1;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;11;0;2;2;2;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;8;2;0;0;0;4;1;1;2;0;0
27455-5061;insucesso;1;0;0;1;1;0;15;1;0;4;3;0;0;0;2;0;4;0;3;2;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;6;1;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0
27482-4917;insucesso;1;0;0;0;0;0;12;1;0;2;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0
27587-4917;insucesso;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27747-5061;insucesso;1;0;0;1;1;0;43;1;0;10;4;0;4;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;20;1;1;0;8;5;0;0;5;4;3;0;0;0;0;0;2;7;3;4;3;10;4;0;0;0;0;4;0;0;0;0;0;0;9;3;0;0;0;6;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;10;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;8;0;3;1;3;5;0;4;2;2;2;3;0;0;0;0;3;2;2;0;3;2
