IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;1>46>2>14>;13>;14>;14>14>;14>14>31>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>3>;14>2>41>;14>3>;14>3>14>;14>3>2>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>31>32>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>6>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>3>14>;2>3>2>;2>31>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;3>;3>14>;3>2>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>41>;31>31>;31>31>30>;31>31>31>;31>32>;31>32>31>;31>32>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;32>31>32>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;46>2>14>;48>;48>13>;48>14>;49>;49>14>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;6>6>6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
17491-4917;insucesso;1;1;0;0;0;0;0;32;1;0;0;1;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;3;1;0;0;0;18;0;1;0;0;0;7;1;0;0;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;4;1;0;0;2;1;0;1;1;0;0;0;0;0;2;1;1;1;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0;0;2;0;0;0;0
18607-4917;SUCESSO;2;1;0;1;1;1;0;21;4;1;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;10;0;1;4;3;0;0;0;0;0;0;0;0;0;1;1;0;1;1;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;8;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;17;0;0;2;1;0;5;0;1;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21361-4917;SUCESSO;3;0;0;3;3;2;0;81;2;0;1;8;0;0;0;0;0;0;0;0;5;0;4;2;0;0;0;0;0;26;0;0;4;1;0;0;5;5;2;0;0;0;0;1;1;1;0;0;14;2;2;2;3;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;0;0;0;0;1;9;4;1;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;83;0;2;2;1;1;14;0;0;0;5;2;1;0;0;0;0;0;0;0;12;12;6;2;0;39;2;1;0;14;1;0;6;0;0;0;0;0;0;0;3;0;0;0;3;2;3;0;0;1;0;0;3;1;0;0;0;0;0;2;2;1;0;0
21629-5061;insucesso;1;0;0;1;0;0;0;52;4;0;0;14;0;3;0;1;0;0;0;0;8;0;5;0;3;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;27;0;0;0;2;0;0;5;0;0;0;4;2;1;0;0;0;0;0;0;29;3;0;14;6;3;5;0;4;0;7;6;0;28;0;0;0;23;0;12;5;2;3;0;0;0;5;4;3;0;0;0;0;2;0;0;0;0;0;0;34;0;0;4;0;3;13;0;3;2;5;3;3;0;0;0;0;1;1;1;6;4;3;3;2;5;1;1;0;3;1;1;3;1;1;2;1;2;2;0;1;0;0;0;0;0;2;0;0;1;0;0;6;6;1;0;0;0;0;7;6;6;0;0
22271-4917;insucesso;0;0;0;0;0;0;0;15;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;0;3;0;0;0;2;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26940-4917;SUCESSO;2;2;0;0;0;0;0;67;14;4;1;7;3;0;0;0;0;0;0;0;13;6;2;1;0;1;1;3;0;13;3;1;2;1;0;0;0;0;0;0;2;3;3;0;0;0;0;0;14;0;0;0;6;0;4;0;0;0;0;0;0;0;1;1;1;0;0;0;6;4;0;1;0;0;2;1;1;0;0;0;0;18;11;2;2;5;3;1;0;0;2;1;1;0;0;1;0;0;3;2;1;1;2;3;1;2;1;0;22;0;4;2;2;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;3;0;0;3;1;0;2;1;14;4;1;1;0;6;2;1;3;0
27455-5061;insucesso;2;1;0;1;1;0;0;37;8;0;0;8;5;0;0;0;4;0;2;0;6;0;3;2;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;1;2;2;13;1;1;1;8;1;3;0;1;0;1;0;0;0;1;1;1;6;1;3;8;4;0;0;0;0;0;0;0;0;1;0;0;9;3;1;0;5;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;1;0;1;1;0;0;2;2;0;0;0;0;0;2;2;2;0;0
27482-4917;insucesso;2;0;0;1;1;0;0;25;2;0;0;4;1;0;0;2;0;0;0;0;1;0;1;0;1;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;1;3;1;0;0;0;0;0;0;3;1;1;1;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;1;1;0;0;3;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0
27587-4917;insucesso;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27747-5061;insucesso;4;1;0;4;4;0;0;83;8;0;0;19;4;0;4;0;0;0;0;6;3;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;3;0;2;0;1;1;0;1;1;44;3;3;3;13;5;0;0;6;0;4;0;0;0;1;1;1;8;4;5;20;11;0;1;0;0;7;0;3;0;0;0;0;15;3;0;0;11;5;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;32;0;2;1;0;1;8;1;0;0;1;0;0;0;0;0;0;1;1;0;2;2;0;0;0;6;1;0;0;3;1;0;1;1;0;0;0;0;0;0;4;1;1;0;4;0;9;0;4;6;0;0;3;3;10;0;0;0;0;6;3;3;0;4
