IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>14>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>42>;14>43>;14>43>44>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>3>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>32>31>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>41>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>32>;31>31>;31>31>30>;31>32>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;42>;42>41>;43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>13>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>
13405-5490;SUCESSO;2;1;1;1;0;135;5;1;1;0;0;1;0;0;14;0;12;0;4;1;0;0;0;44;1;0;12;4;1;1;0;0;5;5;7;0;1;1;1;0;0;0;0;7;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;1;23;4;1;1;10;2;3;2;1;4;2;0;0;0;0;1;2;26;2;0;0;18;1;0;8;3;2;1;1;0;0;0;2;0;0;3;0;0;0;0;0;107;4;3;1;0;34;0;1;0;12;0;4;2;2;2;0;0;0;2;1;0;0;14;11;4;3;2;1;26;3;0;7;2;4;2;3;1;1;0;0;2;1;1;1;11;0;0;0;0;13;7;0;0;5;5;7;2;2;0;5;0;4;4;0
14770-5489;insucesso;2;2;0;0;0;13;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;1;2;3;2;0;1;1;1;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;11;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;2;1;0;2;1;2;1;1;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18398-5384;SUCESSO;3;2;1;1;0;60;0;0;9;0;0;4;0;0;9;0;3;0;2;0;4;0;0;17;0;0;2;2;1;0;0;0;0;0;0;0;3;1;1;3;3;0;0;17;1;1;1;3;0;0;0;0;0;1;1;1;1;0;5;0;0;24;8;0;3;13;4;5;3;2;1;0;0;0;0;0;0;0;23;6;3;1;14;2;0;6;2;1;1;0;0;0;0;5;3;0;3;0;0;0;0;0;62;0;0;1;1;9;0;0;0;3;0;1;0;0;0;0;0;0;1;1;0;0;3;3;1;1;1;1;11;3;2;4;3;3;3;3;3;1;1;0;3;2;2;1;0;0;0;0;0;0;0;0;0;1;1;22;6;3;1;4;0;1;1;3
18444-5384;insucesso;3;2;1;1;0;11;1;0;3;1;0;5;3;2;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;1;1;3;1;0;0;1;0;0;1;1;1;0;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;6;1;1;1;1;1;1;0;0;0;0;0;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21513-5384;insucesso;2;2;0;0;0;19;0;0;3;0;0;0;0;0;2;0;2;0;0;0;0;1;0;4;2;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;13;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;9;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;1;1;0;5;3;1;3;3;2;1;2;0;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22559-5384;SUCESSO;2;1;1;1;0;21;1;0;7;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;13;1;1;1;4;0;0;5;0;0;1;1;1;1;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;16;1;2;1;1;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22607-5384;insucesso;1;1;1;1;0;24;1;1;3;1;0;0;0;0;10;1;5;2;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;5;1;1;1;2;1;1;0;0;0;0;1;1;1;0;0;0;0;16;8;2;0;2;0;2;1;0;3;1;0;0;0;0;0;0;19;2;0;0;13;7;0;1;1;1;3;1;0;0;0;1;0;0;0;0;1;0;1;1;7;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;1;0
22659-5490;insucesso;1;0;1;1;0;49;10;4;1;0;0;2;0;1;6;0;3;0;0;0;0;14;10;12;0;1;5;3;2;2;1;4;0;0;0;0;0;0;0;1;1;0;0;2;1;1;1;0;0;0;0;2;0;0;0;0;0;0;3;2;1;25;7;0;0;3;0;2;1;0;19;14;8;8;12;4;0;1;28;4;0;1;24;7;0;2;2;1;17;13;7;7;12;7;5;7;3;0;27;11;20;16;24;4;0;5;2;11;0;3;1;6;1;4;4;3;2;1;1;1;2;0;6;5;4;2;1;1;1;0;3;1;0;3;0;2;0;2;0;2;3;3;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22700-5489;SUCESSO;2;1;1;1;1;14;1;0;5;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;1;1;1;1;0;0;1;0;0;1;1;1;1;0;2;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;2;1;4;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;2;0;0;1;0;1;0;1;0;0;0;0;2;1;1;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23668-5490;insucesso;2;1;1;1;0;24;1;1;2;1;0;0;0;0;1;0;1;0;0;0;0;1;1;8;0;0;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;3;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;11;1;0;1;3;1;2;1;0;1;0;0;0;0;0;0;0;9;3;0;1;5;0;0;2;2;1;0;0;0;0;0;0;0;1;0;0;3;1;2;1;17;0;0;0;0;5;0;0;0;3;0;2;2;2;1;1;1;1;2;2;1;0;4;3;1;1;0;0;7;1;1;3;1;3;1;2;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25326-5490;insucesso;2;1;1;1;0;16;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
27002-5489;insucesso;0;0;0;0;0;10;1;0;0;0;0;1;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;1;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0;0;0;2;0;0;0;2
27928-5384;insucesso;0;0;0;0;0;9;2;0;1;1;0;0;0;0;5;1;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;5;2;0;1;3;0;0;0;0;0;2;1;1;0;0;1;1;0;1;0;0;0;0;0;3;0;0;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0
28101-5384;insucesso;2;1;1;1;0;14;3;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;2;1;0;5;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;1;1;1;0;3;0;0;1;0;1;0;1;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28198-5490;insucesso;1;0;1;1;0;32;1;0;2;0;0;2;1;0;1;0;0;0;0;0;0;0;0;9;0;0;3;1;1;0;0;0;3;3;0;0;1;0;0;0;0;0;0;4;1;1;1;0;0;0;0;0;0;1;0;0;0;0;2;1;0;3;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;5;0;0;0;3;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;1;1;9;0;0;0;3;0;1;0;0;0;0;0;1;1;0;0;0;7;5;1;0;0;0;10;3;2;4;2;2;2;2;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0
28391-5489;insucesso;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30492-5384;insucesso;2;1;0;0;0;23;1;0;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;2;2;1;0;0;0;0;3;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;11;3;1;0;5;0;0;0;1
30588-5490;insucesso;1;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;19;0;0;1;0;8;0;0;0;2;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30639-5489;SUCESSO;2;2;0;0;0;38;3;0;7;1;0;0;0;0;8;1;4;1;1;0;0;0;0;13;0;0;2;0;0;0;0;0;1;1;0;0;2;2;2;0;0;0;0;10;0;0;0;3;0;0;1;0;0;1;2;2;2;0;0;0;0;14;3;0;0;6;2;4;1;1;0;0;0;0;0;0;2;0;20;2;0;0;13;1;0;5;4;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;24;0;1;2;1;5;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;3;3;3;2;2;2;3;1;1;3;1;2;1;2;1;2;1;0;2;2;2;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;0;3;3;0
