IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>41>43>44>;14>42>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>43>44>44>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>41>41>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>7>;42>;43>;43>14>;43>41>;43>43>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>14>41>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;45>43>44>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;8>
1436-6400;SUCESSO;1;0;1;1;39;2;0;1;4;2;0;0;0;4;3;1;0;0;0;0;1;1;0;0;0;0;0;17;0;1;4;2;0;0;0;0;5;5;3;1;1;1;0;3;0;0;0;0;0;0;0;5;3;0;0;0;1;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;0;0;0;15;7;1;4;8;1;0;0;0;0;0;0;4;1;3;0;0;0;0;0;0;0;0;1;3;3;3;39;1;0;1;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;7;2;5;2;2;1;23;5;1;0;2;0;7;3;0;4;2;0;2;1;0;1;0;0;0;0;1;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0
15247-6400;SUCESSO;1;1;0;0;52;7;1;2;2;0;0;0;0;16;1;10;0;0;1;0;2;2;2;2;0;0;0;14;0;1;2;0;0;1;1;0;1;1;0;0;0;2;3;3;0;0;1;0;0;1;1;3;0;0;0;0;2;0;1;1;0;0;36;3;1;0;2;10;0;6;3;1;0;0;6;2;5;4;2;2;0;2;0;34;4;0;1;25;0;0;0;6;3;2;1;6;2;4;3;2;2;5;2;0;4;2;1;0;0;0;59;0;0;3;0;0;16;0;1;0;3;0;1;0;0;0;0;0;0;1;1;1;0;0;0;7;0;0;2;6;0;4;2;2;1;20;3;2;0;0;0;9;3;2;7;3;2;5;3;2;4;0;1;1;0;1;1;1;0;5;2;1;0;0;4;3;2;0;0;0;0;0;6;1;0;0;2
17228-6401;insucesso;1;0;1;1;13;1;0;0;0;0;0;0;0;4;0;4;0;0;2;1;0;0;0;0;0;0;0;5;0;0;3;3;1;0;0;0;3;3;1;0;0;0;0;0;0;0;0;1;1;2;2;4;2;1;0;0;0;0;0;0;0;0;9;1;0;0;0;3;0;2;1;0;0;0;1;0;1;0;0;0;0;3;0;6;1;0;1;6;1;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;2;1;1;1;4;2;0;0;3;0;1;0;0;0;1;1;0;2;2;0;0;0;0;3;0;1;0;3;2;1;1;1;1;3;2;1;1;2;2;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21169-6402;SUCESSO;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;2;2;1;0;0;0;5;0;0;0;4;0;1;0;0;0;16;1;1;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24192-6401;SUCESSO;1;0;1;1;15;1;1;0;4;0;1;0;0;2;0;2;0;0;2;1;0;0;0;0;0;0;0;6;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;5;1;0;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;4;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;1;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;2;2;1;1;5;0;0;0;0;0;2;0;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;1;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27350-6401;SUCESSO;1;0;1;1;52;1;0;0;7;0;1;0;0;8;0;6;0;0;5;2;0;0;1;0;0;0;0;9;1;0;5;2;2;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;12;1;0;1;0;1;0;0;0;0;0;27;5;2;1;2;18;2;9;5;3;1;3;4;1;1;0;0;0;0;2;0;33;4;1;1;16;2;0;0;10;6;4;3;1;0;0;0;0;0;4;2;0;0;0;0;0;0;0;14;0;3;2;0;0;8;0;2;0;4;2;3;3;2;2;3;1;1;3;1;1;0;0;0;4;0;1;0;2;0;1;1;1;1;4;2;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;2;0;1;1;0
27352-6401;SUCESSO;2;1;2;2;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0
31313-6401;SUCESSO;1;0;1;1;57;2;1;1;5;0;0;0;0;20;0;17;0;0;8;4;0;0;0;2;0;0;0;11;0;2;5;2;2;0;0;0;2;2;0;0;0;4;0;3;1;1;0;0;0;3;3;14;2;0;2;0;2;0;1;0;0;0;27;5;1;1;0;16;4;7;3;1;1;1;1;0;1;0;0;0;0;4;2;26;0;0;0;21;0;0;0;12;6;2;1;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;35;1;2;6;3;0;13;0;4;0;7;4;5;3;2;0;3;2;2;3;2;2;0;0;0;7;0;2;1;6;0;3;3;2;0;9;2;1;0;0;0;3;2;1;3;2;1;2;2;1;0;0;0;0;0;1;0;0;1;8;1;1;0;0;0;0;0;1;1;6;1;0;5;1;1;1;0
31410-6400;insucesso;1;0;1;1;14;1;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;2;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;7;0;1;1;0;0;4;0;0;0;3;0;3;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0
31476-6401;insucesso;1;0;1;1;17;2;0;1;5;2;0;0;0;4;0;3;0;0;3;2;0;0;1;0;0;0;0;9;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;9;3;3;1;0;1;0;0;0;0;0;9;2;0;0;1;6;1;4;4;3;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;4;1;0;0;4;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;17;1;3;3;1;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;2;1;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;1;1;0
31601-6401;insucesso;3;0;1;1;66;4;0;0;9;2;0;0;0;15;0;9;0;0;3;2;2;0;5;0;0;0;0;15;0;1;2;0;0;1;0;0;2;2;2;0;0;0;0;2;0;0;0;1;0;0;0;17;3;0;1;0;0;0;0;0;0;0;43;5;3;0;0;13;2;5;1;0;0;2;9;0;5;0;0;0;0;2;0;37;5;0;2;28;2;0;0;12;5;1;0;5;0;3;0;0;0;7;4;0;1;0;0;0;0;0;41;0;0;5;4;3;5;0;2;2;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;9;3;0;0;7;1;6;3;2;1;8;3;1;1;1;1;6;2;1;3;1;0;2;0;0;1;0;0;0;0;3;2;0;1;5;0;0;0;4;0;0;0;0;0;26;10;3;4;0;0;0;2
31810-6400;insucesso;1;0;0;0;12;1;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1
31836-6401;insucesso;1;0;1;1;52;7;0;1;11;4;0;3;1;17;0;14;0;0;4;1;5;0;1;0;0;1;1;14;0;0;5;2;1;0;0;0;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;19;4;0;1;2;1;0;1;6;3;2;31;8;1;0;1;7;2;1;1;0;0;2;11;0;11;0;0;0;2;0;3;29;2;0;0;26;6;0;0;5;1;1;0;9;0;9;0;0;0;3;3;1;1;1;0;4;3;2;30;3;3;1;1;0;7;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;1;1;0;0;0;6;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;5;1;1;0;0;0;0;0;5;5;0;0;0;5;0;5;5;2
32030-6400;insucesso;1;0;0;0;34;1;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;1;1;1;0;0;0;2;2;0;0;0;0;0;1;0;0;0;1;0;1;1;4;0;0;0;0;2;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;23;1;0;1;1;0;7;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;7;0;1;0;6;1;2;0;0;0;17;2;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;7;2;0;1;0;0;0;0;0;0;2;1;1;2;0;0;0;0
33169-6402;SUCESSO;2;0;1;1;19;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;3;0;0;4;0;0;1;0;0;0;1;0;0;0;3;1;0;0;0;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;8;1;0;0;2;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;2;2;0;0;5;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;1;0;0;0;0;0;0;0;23;6;3;2;1;0;0;0
