IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>31>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>32>;31>41>;31>48>;32>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>7>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;8>
1436-6400;SUCESSO;3;1;2;2;64;5;1;0;2;7;3;0;0;0;4;3;1;0;0;0;0;1;1;0;0;25;0;1;7;5;3;5;5;3;1;0;3;0;0;0;0;0;0;10;2;2;2;4;0;0;1;0;0;0;0;1;0;0;9;2;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;0;0;16;7;1;0;8;1;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;1;3;3;3;73;2;0;1;0;0;22;0;0;10;0;6;1;0;0;0;0;1;1;1;0;0;9;0;8;2;6;3;3;0;24;5;1;0;0;8;3;0;5;2;3;1;2;0;0;3;1;1;2;4;4;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0
15247-6400;SUCESSO;2;1;1;1;82;13;1;3;4;3;1;0;0;0;22;2;14;0;0;3;0;4;3;2;0;27;0;1;5;2;0;1;1;0;2;3;6;0;0;0;0;1;1;7;1;1;1;1;0;1;4;1;1;1;1;3;0;0;49;3;1;0;2;17;0;9;5;3;0;11;4;7;6;3;3;5;0;49;6;2;0;37;0;0;12;5;3;2;10;6;5;3;3;0;7;4;0;7;2;0;0;0;114;2;0;8;2;0;34;2;0;10;0;6;3;2;1;0;0;2;2;1;0;0;8;0;7;0;4;2;2;0;26;4;3;1;0;10;4;3;7;3;5;3;4;1;0;2;1;1;1;6;2;1;0;0;4;3;2;0;0;6;2;0;9;1;0;0;2
17228-6401;insucesso;1;0;1;1;31;5;0;0;0;9;4;0;0;0;5;0;5;0;0;3;1;0;0;0;0;9;0;0;5;5;2;5;4;0;0;2;0;0;0;1;1;2;2;14;0;0;0;6;4;0;0;0;0;0;0;0;0;0;13;2;0;0;0;5;1;3;1;0;0;1;0;1;0;0;0;3;0;10;1;0;1;10;1;0;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;1;1;1;6;0;0;5;0;2;0;0;0;1;1;2;2;0;0;0;6;1;6;3;2;2;1;1;6;3;1;0;2;2;1;1;2;1;1;1;1;0;0;1;0;0;1;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0
21169-6402;SUCESSO;1;0;1;1;26;2;1;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0;7;1;1;1;0;0;1;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;2;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;43;0;0;2;1;0;13;2;0;3;1;2;1;1;1;2;2;3;3;2;0;0;7;0;6;0;3;0;0;0;18;2;1;1;0;5;1;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
24192-6401;SUCESSO;2;0;2;2;28;1;1;0;0;6;0;1;0;0;4;0;4;0;0;2;1;0;0;0;0;8;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;2;2;0;0;1;0;0;0;0;0;0;0;0;7;1;0;0;0;3;1;1;1;0;0;0;0;0;0;0;0;0;5;6;0;0;0;6;0;0;3;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;26;0;1;0;0;0;9;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;2;2;1;0;5;0;0;0;0;2;0;0;2;0;1;0;1;0;0;2;0;0;2;5;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27350-6401;SUCESSO;2;1;1;1;93;5;0;1;1;10;0;1;0;0;13;0;8;0;0;6;3;0;0;3;0;15;1;0;7;3;2;1;1;1;1;0;2;1;1;1;1;0;0;21;0;0;0;3;0;1;2;1;1;1;0;0;0;0;40;6;2;1;2;23;2;13;7;3;0;6;1;2;0;0;0;4;0;50;5;1;0;28;3;0;15;10;6;3;1;0;0;0;0;0;8;6;0;3;1;0;0;0;31;1;4;7;3;0;16;3;0;9;3;4;4;3;1;3;1;3;1;1;0;0;4;1;2;0;1;1;1;0;4;2;1;1;0;1;1;1;1;1;1;1;1;0;0;2;1;1;1;3;0;0;0;0;0;0;0;3;3;0;0;0;3;1;2;2;1
27352-6401;SUCESSO;3;1;2;2;22;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;11;1;1;1;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;1;0;0;0;4;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;2;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0
31313-6401;SUCESSO;2;0;2;2;97;5;3;0;1;14;1;2;0;0;29;0;20;1;0;10;6;0;0;2;0;17;0;2;9;4;3;2;2;0;7;2;7;2;2;0;0;3;3;28;1;1;1;6;0;5;4;0;0;0;3;2;0;0;41;11;3;2;2;25;9;12;7;4;0;2;0;2;0;0;0;5;5;42;1;0;0;33;1;0;20;10;5;3;1;1;0;0;0;3;3;1;0;4;1;0;0;0;55;1;3;9;5;0;24;6;0;14;6;9;4;2;1;4;3;5;4;3;0;0;9;2;8;1;4;3;2;0;11;4;3;2;0;4;3;2;3;2;2;2;0;0;0;2;0;0;2;21;4;3;0;0;2;2;2;4;3;12;2;1;12;3;4;3;0
31410-6400;insucesso;2;1;1;1;22;2;0;0;1;2;0;0;0;0;5;0;2;0;0;1;1;0;0;0;0;5;0;0;3;3;2;1;1;0;0;1;1;0;0;2;2;1;1;4;0;0;0;2;1;1;0;1;1;0;0;0;0;0;5;2;2;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;10;4;0;0;3;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;10;0;1;1;0;0;5;0;0;4;0;3;2;1;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;0;2;1;1;1;2;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0
31476-6401;insucesso;2;0;2;2;71;16;0;0;2;25;9;0;1;0;11;0;5;0;0;5;3;0;0;5;0;23;0;0;9;6;4;0;0;0;0;8;2;0;0;0;0;1;1;36;0;0;0;11;4;3;2;0;0;0;5;1;1;0;17;3;1;0;2;13;2;9;6;3;1;1;0;0;0;0;0;3;1;15;2;0;1;9;1;0;8;6;3;0;0;0;0;0;0;0;7;5;0;0;1;0;0;0;50;1;6;3;1;0;19;1;0;12;0;7;4;3;1;1;1;1;1;1;5;0;5;0;5;0;4;2;2;1;7;3;2;0;0;5;2;2;2;0;2;0;1;0;0;2;0;0;2;11;2;3;1;3;8;8;2;6;5;0;0;0;8;0;6;5;0
