IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;1>46>2>14>;14>;14>14>;14>14>14>;14>14>14>14>;14>14>14>31>;14>14>2>;14>14>31>;14>14>31>30>;14>14>41>;14>14>41>41>;14>2>;14>2>14>;14>2>2>;14>2>46>;14>2>46>1>;14>2>46>1>2>;14>3>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>41>;14>41>31>;14>41>31>30>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>49>;14>49>49>;14>49>49>48>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>14>;2>14>41>;2>2>;2>41>;2>46>;2>46>1>;2>46>1>2>;2>46>1>2>14>;29>;3>;3>2>;30>;30>14>;30>14>14>;30>14>14>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>31>30>14>;30>31>30>31>;30>41>;30>41>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>14>;31>30>41>;31>30>41>41>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>31>41>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;32>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>31>30>30>;41>31>48>;41>41>;41>41>14>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>43>;41>41>41>43>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>41>43>44>44>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>43>44>44>44>44>;41>43>44>44>44>44>44>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>14>41>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>41>41>41>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;44>45>;44>45>43>;44>45>43>44>;45>;45>43>;45>43>44>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;46>2>14>;47>;48>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>14>;5>5>;5>5>5>;6>;6>48>;6>6>;6>6>6>;7>;7>14>;7>31>;7>5>;7>5>5>;7>6>
16014-6590;insucesso;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;3;1;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17491-6590;SUCESSO;3;1;0;2;2;0;20;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;3;0;1;0;1;1;1;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;1;1;8;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;6;1;0;0;3;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;2;0;0;2;1;0;0;0;0;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18444-6895;SUCESSO;1;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21283-6895;insucesso;1;1;0;0;0;0;16;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;7;3;1;0;3;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;15;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22957-6590;insucesso;1;1;1;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;7;0;0;0;0;0;0;3;0;2;2;1;0;0;0;2;1;0;6;0;0;0;5;0;0;0;2;1;0;0;0;0;1;0;0;2;1;0;0;0;0;1;0;1;0;9;0;2;1;0;0;0;0;4;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23182-6895;insucesso;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;1;0
27482-6590;insucesso;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4;0;3;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27630-6895;insucesso;1;0;0;1;1;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;0;0;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;1;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27760-6895;insucesso;1;0;0;0;0;0;9;4;1;0;0;1;1;0;1;1;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;2;0;0;3;0;0;3;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;1;5;0;0;1;1;0;0;0;3;0;0;1;2;0;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28164-6590;SUCESSO;0;0;0;0;0;0;29;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;7;0;2;2;0;0;0;0;1;0;2;3;0;0;1;0;0;0;0;0;0;0;0;0;5;5;4;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;13;0;0;0;5;3;0;1;0;0;0;0;0;0;1;0;0;2;0;1;0;2;1;1;0;0;0;9;0;1;2;0;1;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;1;0;0;2;0;6;4;6;4;0;0;0;0;0;25;0;11;5;2;0;0;0;0;2
