IdAluno;Resultado;1>;1>2>;1>2>14>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>14>14>;14>14>2>;14>14>31>;14>14>41>;14>14>41>41>;14>2>;14>2>14>;14>2>2>;14>2>41>;14>2>46>;14>2>46>1>;14>2>46>1>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>41>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>;14>41>41>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>49>;14>49>49>;14>49>49>48>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;2>46>1>2>14>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>31>31>;31>31>41>;31>41>;31>41>41>;31>48>;31>48>29>;32>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>41>41>41>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>44>;44>44>44>44>44>;45>;46>;46>1>;46>1>2>;46>1>2>14>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>
16014-6590;insucesso;0;0;0;0;0;12;2;0;0;0;0;0;0;1;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;3;0;0;0;0;0;0;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;5;0;0;3;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;3;1;0;0;0;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17491-6590;SUCESSO;4;1;0;3;3;35;5;0;0;0;2;0;0;5;0;0;1;0;0;0;0;0;7;0;5;1;2;1;1;1;2;1;0;6;0;0;1;1;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;2;2;14;2;2;2;4;0;0;0;0;1;1;1;1;0;0;1;0;1;8;3;0;1;1;2;4;2;2;2;4;4;1;0;10;2;0;0;7;2;0;4;2;2;4;4;0;2;1;1;0;0;0;1;0;1;11;0;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;3;3;1;0;0;4;1;2;1;0;0;0;0;0;0;0;0;0;0
18444-6895;SUCESSO;1;1;0;0;0;8;0;0;0;0;0;0;0;2;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;3;0;0;1;0;1;1;1;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21283-6895;insucesso;1;1;0;0;0;27;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;4;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;2;1;0;0;7;3;1;0;3;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;32;0;3;1;0;0;5;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22957-6590;insucesso;2;2;2;0;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;6;0;0;0;3;0;1;1;0;0;2;2;2;2;0;0;0;0;8;0;0;0;0;0;3;0;2;0;1;0;2;0;7;0;0;0;6;0;0;2;1;0;0;0;1;2;1;0;0;0;0;1;0;0;10;0;2;1;0;0;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23182-6895;insucesso;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;1;1;1;0
27482-6590;insucesso;0;0;0;0;0;13;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;0;3;0;0;0;0;0;1;0;0;3;0;0;3;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;4;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;3;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
27630-6895;insucesso;2;0;0;2;2;27;6;2;1;1;1;4;1;2;0;0;0;0;0;0;0;0;7;1;4;0;0;0;0;0;0;0;0;14;0;1;5;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;2;2;0;0;3;2;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;8;3;1;0;0;0;1;0;0;0;1;0;1;0;12;6;1;3;7;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;19;0;0;3;2;0;7;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;3;3;0;0;0;2;0;2;2;0
27760-6895;insucesso;2;0;0;1;0;18;8;1;0;1;2;2;1;3;1;1;0;0;0;0;4;1;3;0;0;0;0;0;0;0;3;0;0;7;0;0;5;4;4;4;4;3;3;0;0;0;0;0;0;0;0;0;1;1;1;0;0;5;1;1;0;3;1;0;1;0;0;1;1;0;0;0;6;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;5;2;1;0;1;1;1;0;0;0;0;0;0;4;1;0;0;1;0;0;0;2;10;0;1;1;0;0;5;0;1;4;0;4;4;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28164-6590;SUCESSO;1;0;0;1;0;62;4;0;0;0;0;1;0;8;1;0;1;0;0;0;0;0;13;0;6;2;0;0;0;0;1;0;2;8;0;0;4;1;1;1;0;0;0;0;0;0;11;11;9;2;0;0;2;2;0;0;0;14;1;1;0;2;0;0;5;0;4;0;0;0;0;0;1;0;0;15;6;0;2;1;0;2;1;1;1;0;0;2;0;25;3;0;0;12;4;0;2;1;1;0;0;1;2;0;1;0;2;1;2;0;0;29;0;2;5;3;2;9;0;2;2;1;2;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;15;3;0;0;12;10;12;10;0;0;25;11;5;2;0;0;0;2
