IdAluno;Resultado;11>;11>14>;11>14>31>;11>31>;11>31>30>;11>31>30>30>;11>48>;11>48>29>;11>9>;11>9>11>;11>9>11>14>;14>;14>11>;14>11>48>;14>11>48>29>;14>11>9>;14>11>9>11>;14>14>;14>14>14>;14>14>31>;14>31>;14>31>14>;14>31>14>31>;14>31>15>;14>31>15>31>;14>31>15>31>14>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>15>;14>31>30>15>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>31>;14>31>30>31>;14>31>30>31>30>;14>31>30>31>48>;14>31>30>48>;14>31>31>;14>31>31>15>;14>31>31>30>;14>31>31>30>31>;14>31>41>;14>31>48>;14>32>;14>38>;14>38>11>;14>38>11>9>;14>38>11>9>11>;14>38>31>;14>38>33>;14>41>;14>41>31>;14>41>31>30>;14>41>41>;14>41>41>31>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>49>;14>49>48>;14>49>49>;15>;15>14>;15>14>31>;15>14>31>30>;15>15>;15>15>31>;15>30>;15>31>;15>31>14>;15>31>14>31>;15>31>15>;15>31>15>15>;15>31>15>15>31>;15>31>15>31>;15>31>15>31>31>;15>31>15>31>31>15>;15>31>30>;15>31>30>14>;15>31>30>14>31>;15>31>30>15>;15>31>30>15>31>;15>31>31>;15>31>31>15>;16>;16>31>;16>31>14>;16>31>14>49>;16>31>30>;16>31>30>14>;17>;17>30>;17>30>14>;17>30>31>;17>30>31>30>;17>31>;2>;28>;28>30>;28>31>;29>;29>14>;29>48>;29>48>29>;29>48>29>48>;29>48>29>48>29>;29>49>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>31>30>31>;30>14>31>31>;30>14>41>;30>15>;30>15>31>;30>15>31>14>;30>15>31>30>;30>28>;30>30>;30>30>14>;30>30>14>31>;30>30>15>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>30>48>;30>30>48>29>;30>30>48>29>48>;30>31>;30>31>14>;30>31>14>41>;30>31>15>;30>31>30>;30>31>30>14>;30>31>30>30>;30>31>30>31>;30>31>30>31>14>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>14>;30>31>30>31>30>31>30>;30>31>30>31>30>31>30>31>;30>31>30>31>30>31>30>31>14>;30>31>30>48>;30>31>48>;30>32>;30>41>;30>48>;30>48>29>;30>48>29>48>;30>48>31>;30>48>31>30>;31>;31>11>;31>14>;31>14>31>;31>14>31>30>;31>14>31>31>;31>14>38>;31>14>41>;31>14>49>;31>15>;31>15>14>;31>15>14>31>;31>15>14>31>30>;31>15>15>;31>15>15>31>;31>15>30>;31>15>31>;31>15>31>14>;31>15>31>15>;31>15>31>15>15>;31>15>31>15>15>31>;31>15>31>15>31>;31>15>31>30>;31>15>31>31>;31>15>31>31>15>;31>17>;31>17>31>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>14>31>30>31>;31>30>15>;31>30>15>31>;31>30>15>31>14>;31>30>15>31>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>31>;31>30>30>48>;31>30>30>48>29>;31>30>30>48>29>48>;31>30>31>;31>30>31>14>;31>30>31>14>41>;31>30>31>15>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>14>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>14>;31>30>31>30>31>30>31>30>;31>30>31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>31>14>;31>30>31>30>48>;31>30>31>48>;31>30>48>;31>31>;31>31>14>;31>31>15>;31>31>15>14>;31>31>15>30>;31>31>15>31>;31>31>30>;31>31>30>30>;31>31>30>30>30>;31>31>30>31>;31>31>31>;31>31>31>30>;31>41>;31>48>;31>48>29>;31>48>30>;31>48>30>31>;31>48>30>31>30>;32>;32>31>;32>31>30>;33>;34>;34>36>;34>36>37>;34>36>37>38>;34>37>;34>38>;36>;36>34>;36>34>36>;36>34>36>37>;36>34>37>;36>36>;36>36>34>;36>37>;36>37>34>;36>37>38>;37>;37>34>;37>34>36>;37>38>;38>;38>11>;38>11>9>;38>11>9>11>;38>14>;38>14>38>;38>14>38>11>;38>31>;38>33>;39>;41>;41>14>;41>31>;41>31>30>;41>31>30>31>;41>31>30>31>30>;41>41>;41>41>14>;41>41>31>;41>41>41>;41>41>41>14>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;47>;47>48>;48>;48>14>;48>29>;48>29>14>;48>29>48>;48>29>48>29>;48>29>49>;48>30>;48>30>14>;48>30>30>;48>30>31>;48>30>31>30>;48>31>;48>31>30>;48>41>;48>48>;49>;49>31>;49>48>;49>49>;49>49>31>;6>;7>;9>;9>11>;9>11>14>;9>11>31>;9>11>31>30>;9>11>31>30>30>
15183-5786;insucesso;1;0;0;0;0;0;1;0;1;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;2;1;0;0;4;1;0;0;0;1;1;2;0;1;3;0;0;1;8;1;1;1;0;0;0;0;3;0;3;1;0;0;0;0;2;0;0;1;0;1;1;1;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0
15735-5786;insucesso;2;0;0;0;0;0;1;0;1;0;0;11;1;0;0;0;0;5;1;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;11;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1;0;0;0;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;2;1;0;0;3;0;0;0;0;0;0;0;1;1;9;0;0;0;0;0;0;2;0;1;1;1;1;0;2;0;3;2;0;2;2;0;1;1;0;0;0;0;0
20475-5786;SUCESSO;4;0;0;0;0;0;1;0;1;0;0;29;1;0;0;0;0;2;0;0;10;1;1;0;0;0;3;0;0;0;0;2;1;1;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;10;3;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;1;3;2;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;17;3;1;1;0;0;0;0;0;0;0;0;4;1;0;0;3;1;1;0;0;0;0;1;1;0;0;0;3;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;24;0;5;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;1;0;0;0;0;0;0;0;2;2;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;2;0;0;0;0;0;0;1;1;0;1;1;1;0;4;0;0;0;1;0;0;2;1;0;19;0;5;1;0;0;6;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0
21782-5786;insucesso;2;1;0;0;0;0;0;0;1;1;1;15;0;0;0;0;0;1;1;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;2;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;9;0;1;1;0;0;2;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
21853-6019;SUCESSO;4;1;0;0;0;0;2;0;0;0;0;33;3;0;0;0;0;1;0;0;13;3;0;0;0;0;7;2;2;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;1;0;2;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;11;2;2;1;0;0;0;0;0;0;0;0;5;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;21;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;1;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;4;3;0;3;3;1;0;0;0;1;4;1;0;0;0;0;0;1;1;0;4;2;1;1;6;0;0;0;1;0;0;0;3;0;14;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;13;4;1;0;0;0;0;1;0;0;0;0;0;0;0;2;5;0;3;1;0;0;2;1;1;0;0;0;0
26766-5786;SUCESSO;13;5;0;0;0;0;2;0;0;0;0;242;4;0;0;0;0;11;0;4;141;17;5;13;13;6;78;13;5;13;13;15;5;3;3;14;6;0;2;22;13;5;0;0;0;0;4;0;0;0;0;0;13;4;0;4;0;0;0;0;0;10;0;6;43;10;8;6;9;9;12;36;16;9;12;6;6;10;5;5;18;9;6;8;8;8;7;5;5;1;0;3;2;24;18;6;3;2;6;5;10;5;5;0;0;0;0;0;0;0;129;47;23;14;0;6;2;26;25;9;11;3;33;6;4;6;9;3;4;2;1;1;0;4;1;0;0;0;29;3;0;10;13;0;6;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;181;1;45;19;10;4;0;2;0;31;10;8;6;9;9;12;19;8;11;6;6;7;7;5;5;2;2;109;33;14;9;0;21;21;8;7;27;6;4;2;1;4;0;0;0;21;3;0;7;9;0;0;0;0;0;0;0;0;0;0;5;32;5;15;6;5;6;10;5;1;0;5;3;1;3;0;2;0;0;1;0;0;2;2;1;0;0;1;0;6;0;0;0;0;0;0;1;1;0;2;1;1;0;7;0;0;0;2;0;0;0;2;0;22;0;5;1;0;0;8;0;1;5;0;0;0;0;0;0;20;3;0;0;0;0;0;3;2;0;0;0;0;0;0;3;13;0;6;6;0;4;3;1;1;0;0;0;0
29485-5786;SUCESSO;2;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;3;0;0;7;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;2;1;0;0;1;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;0;0;1;4;0;0;0;0;0;0;2;1;0;2;1;0;0;5;0;0;0;1;0;0;0;2;0;12;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
29648-5786;SUCESSO;5;1;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;3;1;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;4;0;0;0;3;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;1;0;2;1;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;20;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;4;0;2;1;1;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;32;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;15;0;0;0;0;0;0;0;0;5;3;2;1;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;2;1;0;0;0;0;3;3;0;2;0;0;6;3;2;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;5;0;0;0;0;0;0;4;0;0;22;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0
30480-6019;SUCESSO;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30698-6019;insucesso;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
