IdAluno;Resultado;11>;11>14>;11>31>;11>31>30>;11>48>;11>9>;11>9>11>;14>;14>11>;14>11>48>;14>14>;14>14>14>;14>14>31>;14>14>31>30>;14>14>41>;14>2>;14>31>;14>31>14>;14>31>14>31>;14>31>15>;14>31>15>31>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>15>;14>31>30>15>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>15>;14>31>31>30>;14>31>31>30>30>;14>31>48>;14>38>;14>38>11>;14>38>14>;14>38>31>;14>38>33>;14>39>;14>41>;14>41>31>;14>41>31>30>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;15>;15>14>;15>15>;15>15>31>;15>30>;15>31>;15>31>14>;15>31>14>31>;15>31>15>;15>31>15>31>;15>31>15>31>15>;15>31>30>;15>31>31>;15>31>31>15>;16>;16>31>;16>31>14>;16>31>30>;17>;17>30>;17>30>14>;17>30>14>31>;17>30>31>;17>31>;17>31>14>;2>;28>;28>30>;29>;29>14>;29>48>;29>48>29>;29>49>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>15>;30>15>31>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>15>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>31>48>;30>41>;30>48>;30>48>31>;30>48>31>30>;30>48>31>30>30>;31>;31>11>;31>14>;31>14>14>;31>14>31>;31>14>31>30>;31>14>31>31>;31>14>38>;31>15>;31>15>14>;31>15>15>;31>15>15>31>;31>15>30>;31>15>31>;31>15>31>14>;31>15>31>15>;31>15>31>15>31>;31>15>31>15>31>15>;31>15>31>31>;31>30>;31>30>14>;31>30>14>31>;31>30>14>31>30>;31>30>15>;31>30>15>31>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>31>;31>30>30>48>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>48>;31>31>;31>31>14>;31>31>15>;31>31>30>;31>31>30>30>;31>31>30>31>;31>31>31>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;31>48>30>31>;32>;32>31>;33>;34>;34>36>;34>36>37>;34>36>37>38>;34>37>;36>;36>34>;36>34>36>;36>34>36>37>;36>34>37>;36>36>;36>37>;36>37>34>;36>37>38>;37>;37>34>;37>36>;37>38>;38>;38>11>;38>14>;38>14>31>;38>14>38>;38>31>;38>33>;39>;39>38>;41>;41>14>;41>31>;41>31>30>;41>41>;41>41>14>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;47>;47>48>;48>;48>14>;48>29>;48>29>14>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>30>31>;48>31>;48>31>30>;48>31>30>30>;48>48>;48>49>;49>;49>14>;49>48>;49>49>;49>49>48>;5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>5>;9>;9>11>
15183-5786;insucesso;2;0;1;1;1;1;1;29;0;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;1;1;0;1;0;4;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;1;3;2;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;5;5;3;3;1;2;8;2;0;0;2;1;3;0;1;5;0;0;2;13;1;1;0;0;0;5;0;0;8;2;1;0;4;1;0;1;1;1;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1
15735-5786;insucesso;2;0;0;0;1;1;0;37;1;0;16;3;7;3;4;1;18;0;0;0;0;6;0;0;0;0;1;0;0;0;0;2;0;1;0;2;1;0;1;0;0;0;10;1;1;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;9;6;0;0;0;2;0;1;1;1;0;0;0;0;0;29;3;1;0;0;0;0;1;1;7;0;3;0;1;1;1;1;1;0;0;2;4;0;0;2;0;0;0;0;0;0;0;8;1;0;0;36;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1;0;0;0;0;0;0;4;2;1;0;0;0;3;0;1;0;0;0;0;4;4;0;0;2;0;2;0;0;0;5;0;1;1;1;0;3;2;1;1;1;1;2;0;0;0;0;0;1;0;1;2;0;1;1;5;0;2;0;1;0;3;0;0;31;1;5;3;8;0;1;1;0;0;1;3;2;21;2;0;0;0;0;3;1;2;2;1;1;3;1;4;0;1;3;1;0;0;0;0;0;1;0;1;0
20475-5786;SUCESSO;5;1;0;0;0;0;0;77;1;0;3;0;1;0;0;4;33;1;1;0;0;18;3;0;0;0;3;2;1;1;0;4;0;1;1;0;8;0;0;4;1;0;17;4;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;16;10;5;3;0;4;2;8;3;0;1;0;0;0;0;46;13;4;2;2;0;0;2;1;7;1;5;1;2;0;0;0;0;2;0;0;6;0;0;3;1;0;0;0;0;0;1;0;0;0;0;63;1;10;0;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;31;5;0;0;0;0;1;0;5;4;2;0;2;0;2;0;0;0;0;0;0;0;6;2;0;3;1;0;1;0;4;4;0;0;0;2;1;3;3;1;0;0;1;6;2;0;0;1;2;1;1;0;2;1;0;1;13;0;3;0;0;6;2;0;0;35;0;9;2;8;0;0;0;0;0;4;0;0;6;1;1;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;0;0;0;0;0;0;1;0;1;0
21782-5786;insucesso;2;1;0;0;0;1;1;19;0;0;1;1;0;0;1;0;6;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;2;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;5;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;2;0;0;0;0;9;0;1;1;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
21853-6019;SUCESSO;6;1;0;0;0;0;0;58;4;0;1;0;0;0;0;4;16;3;0;0;0;9;2;2;0;0;3;2;0;0;0;2;0;0;0;0;3;0;0;0;0;0;8;0;0;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;3;1;0;0;0;2;1;9;0;0;2;0;0;0;0;15;2;2;1;0;0;0;0;0;7;0;6;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;30;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;2;1;0;0;0;0;5;4;1;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;1;3;0;2;0;6;3;4;3;1;0;0;0;5;1;0;0;0;0;1;1;0;4;2;0;1;11;0;1;1;0;0;4;0;0;26;0;1;1;4;0;0;1;0;0;0;0;0;15;4;1;0;0;0;2;0;0;0;0;0;2;0;6;0;4;1;0;0;0;0;0;0;3;0;1;0
26766-5786;SUCESSO;14;6;0;0;0;0;0;483;4;0;40;0;17;11;0;2;310;43;13;26;26;156;34;14;15;14;19;8;6;17;0;50;26;10;3;0;13;0;0;2;2;0;15;5;0;5;0;0;17;0;5;0;71;18;20;20;17;57;26;14;28;24;15;24;17;15;5;5;1;3;76;56;23;12;0;18;8;9;24;12;0;0;0;0;0;277;94;45;21;2;28;26;16;15;43;12;14;8;8;3;1;0;0;5;0;0;40;0;15;15;7;0;0;0;0;0;0;12;0;0;0;388;2;101;10;44;17;10;0;59;18;19;19;17;37;15;26;21;13;12;214;59;25;12;23;22;11;10;34;11;8;3;5;0;29;0;11;0;0;0;0;7;69;11;33;19;6;0;8;2;2;5;0;4;0;1;0;4;4;2;0;0;2;14;1;0;0;1;2;1;1;0;3;1;0;0;25;0;8;3;0;3;4;2;0;26;0;8;2;10;0;0;6;0;0;12;0;0;41;10;0;0;0;0;5;0;0;0;0;0;4;0;27;0;13;10;0;0;17;10;7;6;8;0;1;0
29485-5786;SUCESSO;4;1;0;0;0;0;0;86;2;0;8;0;0;0;0;1;34;4;1;0;0;13;0;0;0;0;6;2;1;0;0;7;0;5;4;0;7;0;0;0;2;0;14;2;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;4;1;16;10;5;1;0;6;2;6;0;0;0;0;0;0;0;46;13;5;3;1;0;0;1;1;17;6;9;4;6;5;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;60;0;11;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;26;2;0;0;0;0;1;1;13;6;3;3;0;0;1;0;0;0;0;0;0;0;9;1;0;5;4;0;1;0;0;0;0;0;0;2;2;5;5;2;2;0;1;8;2;0;0;1;1;4;2;0;5;2;0;0;14;0;2;1;0;0;5;4;0;24;0;4;2;3;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;18;9;4;4;2;0;1;0
29648-5786;SUCESSO;8;1;0;0;0;0;0;82;0;0;4;0;0;0;0;5;45;0;0;0;0;19;1;0;0;0;3;1;0;1;0;8;0;4;3;0;6;0;0;4;1;0;8;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;1;16;8;1;0;0;8;0;10;0;0;2;0;0;0;0;64;6;3;1;0;0;0;1;1;18;1;8;0;4;2;2;0;0;3;0;0;13;0;0;5;1;0;0;0;0;0;2;2;0;0;0;106;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;3;2;1;0;0;1;1;13;5;3;1;2;0;7;0;4;0;0;0;0;2;18;0;0;10;4;0;1;3;6;3;0;2;0;7;3;3;3;1;1;0;2;7;2;0;0;2;2;1;0;0;4;0;0;0;15;0;0;0;0;6;2;0;0;42;0;2;2;4;0;0;0;0;0;1;0;0;8;2;2;0;0;0;3;0;0;0;0;0;2;0;1;0;1;0;0;0;5;0;0;0;5;0;1;0
30480-6019;SUCESSO;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;3;1;0;0;0;1;1;0;0;1;0;0;1;4;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30698-6019;insucesso;0;0;0;0;0;0;0;6;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
