IdAluno;Resultado;11>;11>11>;11>11>9>;11>11>9>14>;11>11>9>14>31>;11>11>9>14>31>31>;11>11>9>14>31>31>14>;11>14>;11>38>;11>38>14>;11>38>14>31>;11>38>14>31>14>;11>38>14>31>14>41>;11>38>14>31>14>41>31>;11>48>;11>9>;11>9>11>;11>9>14>;11>9>14>31>;11>9>14>31>31>;11>9>14>31>31>14>;12>;12>14>;12>14>41>;14>;14>11>;14>11>11>;14>11>11>9>;14>11>11>9>14>;14>11>11>9>14>31>;14>11>11>9>14>31>31>;14>11>11>9>14>31>31>14>;14>11>14>;14>11>38>;14>11>38>14>;14>11>38>14>31>;14>11>38>14>31>14>;14>11>38>14>31>14>41>;14>11>38>14>31>14>41>31>;14>14>;14>14>11>;14>14>31>;14>14>41>;14>14>41>31>;14>14>41>41>;14>2>;14>2>11>;14>31>;14>31>14>;14>31>14>41>;14>31>14>41>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>30>31>41>;14>31>31>;14>31>31>14>;14>31>31>30>;14>31>31>31>;14>31>41>;14>31>41>41>;14>31>41>41>41>;14>31>41>41>41>41>;14>31>41>41>41>41>41>;14>31>48>;14>31>48>30>;14>31>48>30>30>;14>31>48>30>30>30>;14>31>48>31>;14>31>48>31>31>;14>31>48>31>31>31>;14>31>48>31>31>31>31>;14>31>48>48>;14>31>48>48>29>;14>32>;14>32>14>;14>32>31>;14>38>;14>38>31>;14>38>31>16>;14>38>31>16>31>;14>38>31>16>31>14>;14>38>31>16>31>14>11>;14>38>31>16>31>14>11>14>;14>38>31>38>;14>39>;14>41>;14>41>31>;14>41>31>30>;14>41>31>48>;14>41>31>48>30>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>42>;14>48>;14>49>;14>49>49>;14>7>;14>8>;16>;16>31>;16>31>14>;16>31>14>11>;16>31>14>11>14>;16>31>30>;16>31>31>;16>31>48>;16>31>48>29>;16>31>48>29>30>;16>31>48>29>30>14>;16>31>48>30>;16>31>48>30>30>;16>31>48>30>30>30>;16>31>48>30>31>;16>31>48>30>31>32>;16>31>48>30>31>32>14>;16>7>;16>7>6>;16>7>6>41>;17>;17>30>;17>30>14>;17>31>;17>31>31>;2>;2>11>;26>;26>31>;28>;28>30>;29>;29>30>;29>30>14>;30>;30>14>;30>14>11>;30>14>14>;30>14>31>;30>14>31>30>;30>14>31>30>31>;30>14>31>30>31>41>;30>28>;30>28>30>;30>30>;30>30>14>;30>30>14>31>;30>30>14>31>30>;30>30>14>31>30>31>;30>30>14>31>30>31>41>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>31>;30>30>30>31>30>;30>30>30>31>30>31>;30>30>30>31>30>31>30>;30>30>30>41>;30>30>31>;30>30>31>30>;30>30>31>30>31>;30>30>31>30>31>30>;30>30>41>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>31>32>;30>31>32>14>;30>31>41>;30>32>;30>41>;30>48>;30>48>31>;30>48>31>30>;30>48>31>30>48>;30>48>31>30>48>41>;30>48>31>30>48>41>41>;30>48>41>;30>48>41>41>;31>;31>14>;31>14>11>;31>14>11>14>;31>14>41>;31>14>41>31>;31>16>;31>16>31>;31>16>31>14>;31>16>31>14>11>;31>16>31>14>11>14>;31>16>31>48>;31>16>31>48>30>;31>16>31>48>30>31>;31>16>31>48>30>31>32>;31>16>31>48>30>31>32>14>;31>30>;31>30>14>;31>30>14>11>;31>30>30>;31>30>30>14>;31>30>30>14>31>;31>30>30>14>31>30>;31>30>30>14>31>30>31>;31>30>30>14>31>30>31>41>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>41>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>31>30>31>30>31>30>;31>30>31>41>;31>30>32>;31>30>48>;31>30>48>31>;31>30>48>31>30>;31>30>48>31>30>48>;31>30>48>31>30>48>41>;31>30>48>31>30>48>41>41>;31>30>48>41>;31>30>48>41>41>;31>31>;31>31>14>;31>31>30>;31>31>31>;31>31>31>31>;31>31>48>;31>32>;31>32>14>;31>38>;31>41>;31>41>41>;31>41>41>41>;31>41>41>41>41>;31>41>41>41>41>41>;31>48>;31>48>14>;31>48>29>;31>48>29>30>;31>48>29>30>14>;31>48>30>;31>48>30>30>;31>48>30>30>30>;31>48>30>31>;31>48>30>31>32>;31>48>30>31>32>14>;31>48>31>;31>48>31>31>;31>48>31>31>31>;31>48>31>31>31>31>;31>48>48>;31>48>48>29>;32>;32>14>;32>31>;32>31>30>;32>31>48>;33>;34>;34>36>;36>;36>36>;36>37>;36>37>34>;37>;37>34>;37>38>;38>;38>14>;38>14>31>;38>14>31>14>;38>14>31>14>41>;38>14>31>14>41>31>;38>31>;38>31>16>;38>31>16>31>;38>31>16>31>14>;38>31>16>31>14>11>;38>31>16>31>14>11>14>;38>31>38>;38>33>;38>36>;39>;41>;41>14>;41>14>41>;41>31>;41>31>30>;41>31>41>;41>31>48>;41>31>48>30>;41>32>;41>41>;41>41>41>;41>41>41>41>;41>41>41>41>41>;42>;42>14>;42>14>31>;48>;48>14>;48>29>;48>29>30>;48>29>30>14>;48>30>;48>30>30>;48>30>30>30>;48>30>30>30>30>;48>30>31>;48>30>31>32>;48>30>31>32>14>;48>31>;48>31>30>;48>31>30>48>;48>31>30>48>41>;48>31>30>48>41>41>;48>31>31>;48>31>31>31>;48>31>31>31>31>;48>41>;48>41>41>;48>48>;48>48>29>;48>48>48>;48>48>48>48>;48>48>48>48>48>;49>;49>49>;6>;6>41>;7>;7>6>;7>6>41>;8>;9>;9>11>;9>14>;9>14>31>;9>14>31>31>;9>14>31>31>14>
11823-6547;SUCESSO;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2;0;1;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;1;0;0;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;22;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;1;1;0;2;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0
13483-6547;SUCESSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;1;0;0;0;6;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;0;0;1;1;0;0;0;15;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;3;1;1;0;0;0;4;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
14874-6547;SUCESSO;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;0;0;0;0;1;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;18;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;5;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;12;2;1;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;4;2;1;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
15183-6547;insucesso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16627-6547;SUCESSO;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0
18200-6547;insucesso;8;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;30;6;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;0;0;0;1;1;6;1;1;1;0;0;0;0;0;0;0;3;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;2;2;1;1;1;1;1;1;0;6;2;0;1;1;1;0;0;0;0;0;0;0;0;3;3;1;1;1;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;2;1;1;10;2;1;0;0;0;0;0;0;0;3;0;0;0;0;0;3;2;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;20;3;1;1;1;1;1;1;1;1;1;0;0;0;0;0;3;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;0;0;0;0;1;0;0;0;0;0;4;0;1;1;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;1;1;2;1;1;1;1;1;1;0;0;0;10;0;0;2;0;0;1;1;0;2;0;0;0;0;0;0;4;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1
19653-6547;SUCESSO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;7;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;3;0;2;1;3;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9;0;0;2;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
21973-6547;SUCESSO;4;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;35;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;0;23;0;0;0;12;3;0;0;2;0;0;6;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;1;0;0;1;1;0;0;0;0;0;0;0;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;1;0;0;0;0;0;3;3;0;0;0;29;4;0;2;1;0;0;0;2;2;6;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;28;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;3;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;14;2;0;0;0;4;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
22435-6547;SUCESSO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;11;0;0;0;7;1;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;2;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;1;0;0;0;0;0;0;0;0;0;0;11;5;0;1;2;0;0;0;0;0;6;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;5;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
27548-6547;SUCESSO;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;3;0;0;11;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;3;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0
