IdAluno;Resultado;1>;1>46>;1>46>2>;11>;11>11>;11>11>9>;11>11>9>14>;11>14>;11>31>;11>48>;11>48>48>;11>9>;11>9>11>;11>9>14>;12>;12>11>;12>11>11>;12>14>;12>14>41>;14>;14>11>;14>11>31>;14>12>;14>12>11>;14>14>;14>14>31>;14>2>;14>2>31>;14>2>31>30>;14>3>;14>3>14>;14>3>2>;14>3>2>41>;14>3>2>41>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>31>30>;14>31>32>;14>31>41>;14>31>48>;14>31>48>30>;14>31>48>30>30>;14>31>48>30>30>30>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>14>41>;14>38>31>;14>39>;14>39>38>;14>41>;14>41>31>;14>41>31>30>;14>41>31>48>;14>41>31>48>30>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>42>;14>49>;14>49>49>;14>7>;16>;16>31>;16>31>14>;16>31>30>;16>31>48>;16>31>48>30>;17>;17>30>;17>30>14>;17>30>31>;17>31>;2>;2>14>;2>31>;2>31>30>;2>41>;2>41>41>;26>;28>;28>30>;29>;3>;3>14>;3>2>;3>2>41>;3>2>41>41>;30>;30>14>;30>14>11>;30>14>31>;30>14>31>30>;30>14>31>30>31>;30>14>41>;30>17>;30>17>30>;30>2>;30>28>;30>28>30>;30>30>;30>30>14>;30>30>14>31>;30>30>14>31>30>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>16>;31>16>31>;31>16>31>14>;31>2>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>14>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>31>;31>31>;31>31>30>;31>31>30>30>;31>31>31>;31>32>;31>32>31>;31>41>;31>48>;31>48>30>;31>48>30>30>;31>48>30>30>30>;31>48>30>30>30>14>;31>48>30>31>;32>;32>14>;32>31>;32>31>30>;33>;33>14>;34>;34>36>;34>36>37>;34>36>37>38>;34>37>;34>37>38>;36>;36>34>;36>34>37>;36>34>37>38>;36>36>;36>36>34>;36>36>34>37>;36>37>;36>37>34>;36>37>38>;37>;37>34>;37>36>;37>36>34>;37>38>;37>38>14>;38>;38>14>;38>14>41>;38>31>;38>33>;38>33>14>;38>36>;38>39>;38>39>14>;39>;39>14>;39>38>;39>42>;41>;41>14>;41>14>41>;41>31>;41>31>30>;41>31>48>;41>31>48>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;42>;42>41>;46>;46>2>;48>;48>14>;48>29>;48>30>;48>30>30>;48>30>30>30>;48>30>30>30>14>;48>30>31>;48>31>;48>48>;48>48>29>;48>48>48>;48>48>48>48>;48>48>48>48>48>;49>;49>48>;49>49>;6>;7>;8>;9>;9>11>;9>14>
11823-6547;SUCESSO;1;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;2;0;0;0;0;0;0;0;0;0;0;0;0;0;24;1;11;2;1;0;0;0;6;3;0;2;0;0;0;0;0;0;6;0;0;0;0;0;9;2;1;0;0;2;0;0;0;1;1;0;4;4;2;1;0;0;14;11;1;0;3;6;1;0;0;0;0;0;1;1;0;0;0;0;0;0;47;4;0;2;0;0;1;2;2;1;1;1;9;0;0;0;6;0;5;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;52;7;2;0;0;0;0;0;28;3;2;6;0;3;3;1;1;0;0;0;0;0;9;6;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;5;4;5;2;1;1;3;3;6;4;3;3;3;0;0;2;1;1;5;1;0;0;4;2;12;2;0;3;5;4;2;0;0;0;0;0;0;27;0;0;6;3;0;0;0;5;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0
13483-6547;SUCESSO;1;1;1;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;59;2;0;0;0;3;2;3;0;0;0;0;0;0;0;30;1;20;0;2;1;3;3;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;16;1;0;0;0;1;0;0;1;1;1;0;3;3;0;3;0;0;9;7;0;2;1;8;1;0;0;0;0;0;3;3;0;0;0;0;0;0;53;1;0;1;0;0;0;0;0;0;1;1;11;0;0;0;5;0;3;1;0;2;4;4;19;3;14;6;6;5;0;1;1;2;64;6;1;0;0;0;0;0;43;1;1;10;0;3;2;1;11;0;8;5;5;0;3;2;1;0;1;0;3;1;1;0;0;0;0;3;0;2;2;3;0;3;1;1;1;1;0;5;0;0;0;0;0;0;2;1;1;3;1;1;0;1;1;9;4;0;1;3;0;1;0;0;0;0;0;0;47;3;1;3;1;0;0;0;8;2;1;1;0;2;1;5;0;0;2;0;0;0;0;0;2;0;1;1;0;1;0;1;0;2;0;1;1;0
14874-6547;SUCESSO;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;18;2;2;0;0;1;0;0;0;0;0;1;3;3;0;3;0;0;10;6;0;4;4;5;0;0;0;1;0;0;1;1;1;1;0;0;0;0;33;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;5;0;2;1;0;0;0;0;5;1;3;0;0;0;0;1;1;1;38;2;0;0;0;0;0;0;20;0;0;7;0;4;2;1;1;0;1;0;0;0;3;2;1;0;2;0;3;1;0;0;0;0;0;3;3;0;0;4;0;4;2;1;1;0;0;33;1;0;0;6;0;0;4;3;1;4;3;0;0;1;0;9;1;0;2;1;0;0;0;0;0;0;0;0;54;1;1;5;3;0;0;0;4;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0
15183-6547;insucesso;0;0;0;2;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;39;1;1;0;0;0;0;5;2;1;0;0;0;0;0;10;0;3;0;1;0;1;1;1;0;0;0;2;1;1;1;0;0;2;0;0;0;0;0;14;0;0;0;0;2;0;0;0;0;0;1;2;2;1;0;0;0;1;0;0;0;1;5;1;2;1;0;0;0;0;0;0;0;0;0;0;0;10;2;0;1;0;0;0;0;0;0;0;0;2;1;0;0;2;1;1;1;0;0;0;0;2;0;1;0;0;0;1;0;0;0;22;1;0;0;1;1;1;0;5;0;0;1;0;1;1;0;2;0;1;0;0;1;4;0;0;2;0;0;1;3;2;1;1;1;0;0;0;0;0;2;0;2;2;1;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;6;0;0;0;2;0;0;0;0;0;0;0;0;23;0;0;1;0;0;0;0;4;0;0;0;0;0;0;4;0;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;1;2;0;1;0;0
16627-6547;SUCESSO;1;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;35;0;0;0;0;3;1;1;0;0;1;0;0;0;0;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;14;1;0;0;0;3;0;0;0;3;3;1;2;2;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;17;1;0;0;0;0;0;0;6;0;0;4;0;2;0;0;0;0;0;0;0;0;6;3;3;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;1;1;0;1;0;4;1;0;0;0;0;0;1;0;0;2;0;1;0;0;0;9;1;0;2;1;0;1;0;0;0;0;0;0;44;0;0;1;0;0;0;0;4;1;0;0;0;1;0;10;0;0;2;1;0;0;0;0;2;0;1;1;1;4;2;3;0;4;0;1;1;0
18200-6547;insucesso;0;0;0;10;1;1;1;1;0;0;0;1;0;1;1;0;0;1;1;61;7;0;0;0;3;0;2;0;0;0;0;0;0;0;26;2;11;0;2;0;0;0;3;1;0;0;1;0;0;0;0;0;3;1;1;2;0;0;10;3;0;2;2;1;0;0;0;0;0;0;4;4;1;0;2;1;3;2;0;0;1;2;0;0;0;0;0;1;0;0;3;0;0;0;0;0;24;5;1;1;1;0;1;0;0;0;0;0;6;2;1;1;4;1;2;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;41;4;0;1;1;1;1;0;15;3;0;4;1;1;0;0;0;0;0;0;0;0;3;1;0;1;1;1;0;6;4;2;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;8;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;6;3;1;2;0;0;0;0;0;0;0;0;0;18;0;0;3;0;2;2;1;2;0;0;0;0;0;0;6;0;3;4;2;1;1;0;1;2;2;0;0;0;0;0;0;0;0;0;1;0;1
19653-6547;SUCESSO;2;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;28;1;0;0;0;0;0;1;0;0;0;0;0;0;0;8;0;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;2;1;0;0;0;0;0;2;2;0;1;0;0;9;6;0;0;3;7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;24;3;0;1;0;0;2;2;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;0;23;0;0;0;0;0;0;0;11;2;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;6;1;1;1;3;2;6;2;2;2;1;0;0;3;2;1;6;2;1;0;3;1;9;2;0;2;4;0;0;0;0;0;0;0;0;17;1;1;2;0;0;0;0;5;1;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
21973-6547;SUCESSO;1;1;1;6;1;0;0;0;0;4;2;1;0;0;0;0;0;0;0;75;4;0;0;0;3;1;5;0;0;0;0;0;0;0;45;0;31;5;1;0;4;1;6;5;0;1;0;0;0;0;0;0;4;0;0;0;0;0;4;1;1;0;0;1;1;0;0;1;1;1;2;2;1;1;0;0;15;13;4;0;2;9;1;0;0;0;0;0;5;5;0;0;0;0;0;0;66;10;0;2;0;0;1;2;2;0;2;2;8;0;0;0;3;0;3;3;0;1;1;1;5;0;2;0;0;0;0;3;0;3;60;2;1;0;0;0;0;0;47;6;1;3;0;1;1;1;4;0;1;0;0;0;8;6;1;0;1;0;2;2;2;0;0;0;0;4;1;3;2;2;1;1;0;0;0;1;1;2;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;7;0;0;1;2;1;1;0;0;1;0;0;0;8;0;0;1;1;0;0;0;2;2;1;0;0;2;1;19;3;0;4;3;2;0;0;0;4;0;2;2;2;1;1;1;0;2;0;1;0;0
22435-6547;SUCESSO;1;1;1;3;1;0;0;0;0;1;1;1;0;0;2;0;0;0;0;42;0;0;0;0;3;0;5;0;0;2;0;0;0;0;12;0;7;1;5;2;1;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;5;0;0;0;0;2;1;1;0;0;0;1;1;1;0;1;0;0;3;2;2;0;1;9;1;0;0;3;0;0;0;0;0;2;0;1;0;0;13;6;0;2;0;0;0;1;1;0;0;0;7;0;0;0;3;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;23;1;0;0;0;0;0;0;10;2;1;6;0;2;1;0;1;0;1;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;8;1;0;0;1;0;0;0;0;0;0;0;0;21;0;0;1;1;0;0;0;5;2;1;0;0;1;1;2;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0
27548-6547;SUCESSO;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;1;0;0;0;2;1;0;0;0;1;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;2;0;0;1;1;0;0;0;0;0;0;3;3;3;1;0;0;0;0;20;0;0;0;0;0;0;0;0;1;2;2;4;0;0;0;2;0;2;0;0;0;0;0;2;0;1;0;0;0;0;2;0;2;24;1;0;0;0;0;0;0;8;0;0;1;0;1;1;0;1;0;1;0;0;0;2;2;0;0;1;0;0;3;1;0;0;0;0;8;2;4;3;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;1;2;1;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;3;2;1;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;0
