IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>38>36>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;14>49>48>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;2>;2>1>;2>1>46>;2>14>;2>14>2>;2>14>41>;2>2>;2>2>41>;2>3>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;2>46>1>2>;28>;28>30>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;34>36>;36>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>36>36>36>36>36>36>36>;36>38>;38>;38>14>;38>31>;38>33>;38>36>;38>41>;38>41>41>;39>;39>38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;42>;46>;46>1>;46>1>2>;46>2>;48>;48>13>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;49>49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>
13342-4130;insucesso;3;2;0;0;0;27;1;0;7;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;4;0;0;8;2;0;3;1;1;0;0;0;1;0;0;0;1;1;1;2;2;0;16;0;0;6;0;3;0;0;1;1;0;0;0;0;0;2;2;1;0;0;0;2;0;2;5;3;0;1;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;7;0;0;3;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;5;2;15;0;5;12;3;7;5;5;5;2;2;2;7;2;0;4;1;0;0;0;0;15;3;2;1;1;0;3;1;0;1;0;0;0;3;3;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14004-4604;SUCESSO;1;0;1;1;0;53;1;0;11;0;4;0;0;0;0;6;0;5;1;0;0;0;0;0;0;5;0;0;0;0;16;1;0;4;1;0;1;1;0;1;1;0;0;2;2;2;1;1;1;20;1;1;0;0;0;4;0;0;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;15;5;2;2;0;8;3;2;1;1;0;0;0;1;0;1;0;0;0;17;0;0;12;2;5;1;1;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;4;0;1;1;0;0;0;0;0;0;0;0;10;1;0;1;0;3;0;0;0;30;2;2;0;0;1;8;0;0;4;2;0;0;1;0;0;1;2;0;0;0;0;0;2;2;1;1;0;2;2;1;0;0;3;0;2;2;1;0
15396-4130;insucesso;2;0;1;0;0;21;1;0;2;0;1;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;8;2;1;1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9;1;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;10;0;0;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;0;1;3;1;2;2;2;2;2;1;0;4;0;2;1;1;0;0;0;0;15;1;0;0;0;0;3;0;0;1;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
17083-4604;SUCESSO;3;1;1;1;0;95;4;2;6;3;1;0;0;3;0;15;0;11;8;5;5;1;3;0;0;0;0;0;0;4;27;5;0;11;6;0;0;0;0;3;2;0;0;1;1;1;0;0;0;25;2;0;6;0;3;2;0;1;3;2;0;0;1;0;1;1;0;0;0;0;12;4;0;31;5;1;0;2;24;5;17;5;14;12;11;9;5;0;7;3;0;0;38;4;0;26;0;23;17;14;12;11;2;1;0;7;4;3;0;2;2;1;3;2;0;14;0;2;3;0;2;0;0;0;0;0;0;14;4;0;3;2;0;0;10;4;78;4;7;4;0;3;20;0;3;9;2;0;0;2;1;0;2;0;0;0;0;0;0;1;0;1;0;1;5;4;2;0;0;6;0;4;4;0;5
17604-4130;SUCESSO;0;0;0;0;0;196;15;2;6;0;2;0;0;0;0;46;2;24;6;5;3;0;1;1;0;10;0;0;3;0;17;1;1;5;0;0;14;6;4;6;1;0;0;1;1;1;4;4;1;9;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;11;1;2;0;10;2;8;1;3;2;1;0;1;0;4;1;2;1;63;6;0;32;8;9;7;3;2;1;0;0;0;1;1;2;1;1;0;0;2;1;0;9;1;1;0;0;0;0;0;0;0;0;1;17;1;0;2;5;0;0;0;0;28;2;1;3;2;1;8;0;0;1;0;0;0;1;0;0;0;22;0;2;0;0;8;19;11;4;2;2;4;2;3;1;1;12;0;2;2;1;0
17813-4130;SUCESSO;1;0;0;0;0;68;1;0;7;0;2;0;0;0;0;5;0;4;0;0;0;0;0;0;0;1;1;0;0;0;5;0;0;0;0;0;4;0;4;4;0;0;0;1;0;0;5;5;2;26;0;0;1;1;0;6;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;22;7;1;0;1;7;4;3;0;1;0;0;0;1;0;1;1;1;2;21;1;0;11;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;4;0;2;0;0;0;0;0;0;0;0;0;10;2;0;1;0;0;0;0;0;33;0;0;0;0;0;5;0;0;1;0;0;0;1;1;0;0;6;0;0;0;1;0;9;3;7;3;4;0;0;27;6;1;6;0;0;0;3;0
18027-4130;SUCESSO;4;3;2;2;0;47;1;0;8;2;1;0;0;0;0;11;1;1;0;0;0;0;1;1;1;1;0;0;0;0;14;2;1;3;0;0;0;0;0;0;0;0;0;4;4;0;1;1;0;20;2;2;4;1;1;3;0;1;1;0;0;0;1;0;2;1;0;0;0;0;2;1;1;12;4;1;2;0;4;1;1;1;0;0;0;0;1;0;1;0;2;0;24;7;0;11;3;3;1;0;0;0;0;0;0;4;4;4;1;2;2;1;3;2;1;11;0;1;6;0;5;5;3;3;3;0;1;11;2;0;3;3;0;0;1;1;31;1;3;5;4;1;6;0;2;1;0;0;1;4;2;2;2;1;0;1;0;0;1;0;0;0;0;0;6;5;12;1;0;5;0;4;3;1;0
18030-4130;SUCESSO;2;1;2;2;0;23;3;1;2;1;0;0;1;5;3;3;0;2;0;0;0;1;0;0;0;1;0;0;0;1;6;0;0;3;1;0;2;0;2;0;0;0;0;4;3;0;1;0;0;11;1;1;3;0;2;2;0;2;1;0;0;0;1;0;1;1;0;0;0;0;10;2;4;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;15;4;0;9;2;0;0;0;0;0;6;4;0;1;0;1;1;3;3;3;2;1;0;5;0;1;2;0;1;1;1;1;1;0;0;8;1;0;1;0;1;0;1;1;8;0;2;0;0;2;4;0;0;2;1;0;0;4;1;1;2;2;0;0;0;0;0;3;1;3;1;1;1;1;0;0;0;1;0;1;1;0;0
18163-4605;insucesso;1;1;0;0;0;19;0;0;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;9;0;0;2;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;6;0;0;1;0;1;1;0;0;1;1;1;0;4;3;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;4;0;1;1;1;0;0;0;0;0;0;0;8;2;0;2;0;3;2;0;0;28;0;1;0;0;1;15;1;0;9;5;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;6;0;0;0;3;0
18187-4605;SUCESSO;3;0;3;3;0;101;2;0;8;1;3;0;0;0;0;19;0;7;2;1;1;0;3;0;0;4;0;0;3;0;13;2;0;2;1;0;19;0;17;4;1;0;0;3;3;1;3;3;0;21;2;2;3;0;0;5;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26;2;0;0;0;9;1;5;0;4;3;2;1;1;0;2;1;2;0;42;1;0;15;0;4;2;2;2;2;0;0;0;6;2;6;1;0;0;0;2;1;0;12;0;1;4;0;0;0;0;0;0;0;0;17;1;0;2;8;1;0;0;0;34;0;5;2;1;3;11;0;1;4;1;0;0;4;0;0;3;25;0;0;0;0;0;28;13;23;11;5;5;3;15;5;3;5;0;2;2;3;0
