IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;14>7>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>2>31>;2>3>;2>3>2>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2>46>1>2>;28>;29>;3>;3>14>;3>2>;3>2>14>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>;32>31>;32>31>30>;33>;34>;36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;38>;38>14>;38>33>;38>36>;38>41>;39>;39>38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>30>;48>48>;49>;49>48>;49>49>;49>49>48>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>5>;7>5>5>;7>6>;8>
10127-5469;SUCESSO;1;1;1;1;37;1;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;14;1;1;5;2;0;0;1;1;1;1;0;0;0;0;11;1;1;1;3;3;2;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;7;1;2;1;0;0;1;8;1;1;2;0;1;0;29;0;5;4;0;1;11;0;0;6;4;0;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10786-5469;SUCESSO;4;3;3;2;35;1;0;10;0;3;2;0;1;0;0;6;0;2;0;2;1;1;0;0;0;0;2;0;6;0;0;0;0;0;0;0;2;2;1;2;2;1;0;20;3;1;1;1;0;5;0;0;0;4;2;2;1;3;3;2;0;0;1;0;1;0;10;4;0;0;0;1;0;0;1;5;3;3;1;2;0;0;0;0;0;3;3;0;0;17;1;1;9;1;5;3;2;0;0;0;2;2;0;0;2;1;1;0;0;0;0;4;3;5;3;4;2;2;2;0;10;1;4;1;0;0;0;11;0;0;0;0;1;1;0;0;0;0;0;5;3;3;3;2;2;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0
13016-5468;insucesso;1;1;1;1;61;4;1;10;3;1;2;2;3;5;1;12;2;9;0;8;6;5;0;4;1;1;2;2;19;0;1;4;2;0;0;2;1;1;0;5;5;0;0;17;1;1;1;5;2;3;0;0;0;2;2;2;3;1;0;0;0;1;8;2;1;0;34;3;1;1;0;0;2;2;0;19;1;11;0;8;6;4;0;4;0;5;4;2;4;25;4;0;19;0;14;9;7;5;0;0;2;0;0;0;2;1;1;0;7;2;2;0;0;0;0;0;0;0;0;0;3;2;0;0;0;3;1;34;5;0;2;1;1;8;0;1;3;0;0;1;0;0;1;8;1;0;0;0;0;0;0;3;3;0;0;0;3;2;2;0;0
13179-5388;insucesso;0;0;0;0;2;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13190-5468;SUCESSO;1;0;1;1;58;1;0;1;0;0;0;0;0;0;0;5;0;2;0;1;0;0;0;0;0;0;1;0;7;0;0;2;1;0;0;0;1;1;0;8;8;1;0;15;1;1;1;2;1;1;0;0;0;3;1;0;2;0;0;0;0;0;0;0;0;0;16;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;13;2;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;1;1;5;1;3;2;2;2;0;2;1;1;0;0;0;0;19;0;2;1;0;0;10;0;0;6;3;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13342-5468;SUCESSO;2;1;2;1;45;1;0;7;1;2;1;0;1;0;0;13;0;11;0;0;0;0;0;0;0;0;0;0;6;1;0;1;0;0;0;4;3;3;2;16;14;3;1;11;2;2;1;4;0;2;0;0;0;1;1;1;1;0;0;0;2;0;1;0;0;0;42;6;0;1;1;2;5;4;0;7;1;2;0;0;0;0;0;0;0;4;4;0;0;24;1;0;19;0;3;1;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;1;0;2;0;0;0;0;0;6;1;1;1;9;1;0;3;0;0;0;0;0;0;11;1;1;4;0;0;0;0
15396-5469;SUCESSO;2;1;1;1;24;1;0;7;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;13;1;1;1;1;0;2;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;1;3;2;1;1;1;7;1;2;0;0;0;0;10;0;1;0;0;1;2;0;0;2;1;0;2;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
15432-5469;SUCESSO;1;1;0;0;91;13;0;13;4;2;0;0;1;0;0;12;0;3;2;0;0;0;0;0;0;0;0;0;12;2;0;4;3;0;0;3;1;1;1;1;1;1;0;20;0;0;0;6;0;3;0;0;0;1;0;0;2;1;1;1;0;0;0;0;0;0;13;4;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;18;1;2;7;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;16;1;3;1;1;1;5;0;0;3;3;0;1;1;1;0;5;2;1;1;0;0;0;0;0;0;10;0;0;7;0;0;1;0
15818-5469;SUCESSO;2;0;1;1;40;2;0;7;0;3;0;0;0;0;0;5;0;2;0;1;0;0;0;0;0;0;1;0;10;1;0;3;0;0;0;1;1;1;0;0;0;0;0;17;1;0;0;0;0;5;0;0;0;4;3;2;4;2;2;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;3;5;0;3;0;2;0;0;0;0;1;2;1;1;0;17;0;1;7;0;5;3;2;0;0;0;1;1;0;0;0;0;2;1;0;0;0;1;1;7;1;1;0;0;0;1;4;0;0;0;0;0;0;44;1;3;1;0;0;8;0;0;2;0;0;2;2;0;1;1;0;1;0;0;0;0;0;1;1;2;0;0;8;1;1;0;0
17356-5388;insucesso;2;0;2;1;51;3;0;7;0;2;0;0;1;0;0;23;0;19;0;1;0;0;0;0;0;0;0;0;8;1;2;2;0;0;0;1;0;0;0;16;16;6;0;14;2;1;0;1;0;2;0;1;1;1;1;0;1;1;0;0;0;0;2;1;1;0;43;10;3;1;0;1;2;2;0;1;1;0;0;0;0;0;0;0;0;2;1;2;0;33;0;1;26;4;1;0;0;0;0;0;2;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;19;1;1;2;1;1;5;0;0;1;0;0;5;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
