IdAluno;Resultado;1>;14>;14>14>;14>14>31>;14>2>;14>2>14>;14>2>2>;14>2>2>31>;14>2>2>31>30>;14>2>31>;14>2>31>30>;14>2>41>;14>31>;14>31>14>;14>31>2>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>30>30>30>30>30>;14>31>30>30>30>30>30>30>30>;14>31>30>48>;14>31>31>;14>31>41>;14>31>48>;14>31>48>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>49>;14>7>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;17>30>30>31>;17>30>31>;17>30>31>30>;17>30>48>;2>;2>14>;2>14>31>;2>2>;2>2>31>;2>2>31>30>;2>31>;2>31>2>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;2>41>41>;28>;28>30>;29>;3>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>14>31>;30>30>17>;30>30>17>30>;30>30>2>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>14>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>30>41>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;30>48>14>;30>48>30>;30>48>41>;31>;31>14>;31>14>31>;31>14>31>30>;31>2>;31>2>2>;31>2>31>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>2>;31>30>30>;31>30>30>14>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>41>41>;31>30>48>;31>30>48>14>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;31>48>30>30>;32>;32>31>;38>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>31>;41>41>41>41>41>;46>;48>;48>14>;48>14>31>;48>29>;48>30>;48>30>30>;48>30>30>30>;48>41>;48>48>;48>48>48>;48>48>48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>31>;7>5>;7>5>5>;7>6>
110-7098;insucesso;0;8;0;0;2;0;0;0;0;1;1;0;4;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;4;4;0;0;0;2;1;0;6;0;0;1;1;0;3;0;1;0;0;0;0;0;0;1;0;13;0;0;0;0;0;2;2;2;5;0;0;0;0;1;4;0;3;0;1;1;1;1;0;0;0;0;1;2;0;1;0;0;0;1;0;0;0;12;0;0;0;2;0;0;6;0;1;1;0;3;0;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;2;2;2;0;1;1;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1
11848-7098;SUCESSO;1;11;0;0;2;0;0;0;0;1;1;0;5;0;0;5;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;2;2;0;0;0;2;0;0;5;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;11;2;0;1;1;0;0;0;1;3;1;1;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;0;0;0;10;1;0;0;0;0;0;8;1;0;0;1;3;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13298-7098;insucesso;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15217-7098;SUCESSO;1;16;0;0;4;0;0;0;0;1;1;0;4;0;0;4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;3;3;1;0;0;1;0;0;7;1;0;1;1;1;2;0;2;0;0;0;0;0;0;0;4;12;2;1;0;0;0;1;1;0;6;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;12;2;0;0;1;0;0;10;0;1;1;0;6;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;2;1;0;0;0;0;1;1;2;4;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
18184-7098;insucesso;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;2;0;0;0;0
18208-7098;insucesso;0;12;0;0;1;0;0;0;0;0;0;0;7;1;0;3;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;2;1;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;8;2;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;11;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18523-7274;SUCESSO;0;34;1;1;6;0;0;0;0;2;1;0;11;0;0;10;0;4;1;1;0;0;0;2;1;0;0;0;10;1;0;4;2;0;0;2;1;1;0;4;4;1;1;0;1;0;0;16;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;41;4;2;2;2;1;0;0;1;15;1;0;0;0;0;5;0;4;0;2;2;1;1;0;2;0;1;7;4;0;2;0;1;0;13;0;6;0;35;1;0;0;1;0;0;25;2;0;0;1;9;0;2;1;0;0;0;0;0;1;1;0;0;5;0;4;3;0;1;1;1;0;1;0;1;1;0;23;0;2;4;1;1;11;1;2;1;4;1;0;0;0;0;15;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;6;1;0;0;3;1;0;0;0
18875-7118;SUCESSO;0;38;2;1;8;0;4;0;0;2;1;0;14;0;1;10;1;8;7;2;1;0;0;0;1;0;0;0;7;0;0;3;2;0;0;0;1;0;0;7;7;4;2;0;0;0;0;14;0;0;6;2;2;6;0;5;5;5;1;0;0;0;0;0;20;10;3;3;1;1;3;3;1;12;5;2;2;2;1;11;4;6;2;5;4;4;4;2;1;0;1;1;1;0;1;0;2;0;1;0;1;0;25;1;0;0;3;0;0;16;1;1;1;0;11;1;11;6;5;4;4;3;2;0;0;1;0;0;0;2;2;1;2;0;0;0;0;0;1;0;2;21;0;1;4;0;0;6;0;1;0;3;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
18900-7118;insucesso;0;12;0;0;1;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;12;0;0;3;3;1;5;2;1;1;0;2;2;0;0;0;0;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;3;0;3;0;3;2;1;0;0;0;0;0;2;0;0;0;0;1;1;2;0;0;2;13;0;0;0;5;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;17;0;2;1;0;0;6;0;1;0;4;1;3;1;2;0;9;1;1;0;0;0;0;2;2;2;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0
20306-7274;insucesso;1;6;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;1;0;0;0;2;0;0;1;0;0;1;0;1;0;1;1;1;1;1;1;7;0;0;0;2;2;1;1;6;3;3;0;0;0;0;0;1;0;0;0;2;0;0;0;1
