IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>2>;14>2>14>;14>2>2>;14>2>31>;14>2>31>30>;14>2>38>;14>2>41>;14>3>;14>31>;14>31>14>;14>31>2>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>38>;14>38>14>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>7>;16>;16>31>;16>31>30>;17>;17>30>;17>30>14>;17>30>30>;17>30>31>;2>;2>1>;2>1>46>;2>14>;2>14>31>;2>2>;2>2>31>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>7>;29>;3>;3>2>;30>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>17>;30>17>30>;30>2>;30>30>;30>30>14>;30>30>17>;30>30>17>30>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30>48>14>;31>;31>14>;31>2>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>2>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>;33>;34>;34>36>;34>38>;36>;36>14>;36>34>;36>34>38>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>;38>14>;38>14>41>;38>2>;38>31>;38>33>;38>36>;38>41>;39>;41>;41>14>;41>2>;41>31>;41>31>30>;41>31>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>5>;7>5>5>;7>6>
110-7098;insucesso;0;0;0;0;13;0;4;0;1;1;1;0;0;0;4;0;1;1;0;1;1;1;0;0;0;1;0;2;1;1;0;0;0;0;0;1;1;1;0;4;4;0;0;2;9;0;0;0;0;2;1;4;2;0;0;1;3;1;1;0;14;0;0;0;0;2;2;3;5;0;0;0;4;0;3;1;1;1;0;0;0;0;1;2;1;0;0;1;0;14;0;3;7;0;1;1;1;3;2;2;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;2;0;1;1;2;1;1;1;0;0;0;3;1;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;2;2;1;1;0;0;0;0;0;2;0;0;4;0;0;1
11848-7098;SUCESSO;1;0;1;1;18;1;2;0;0;1;0;0;0;0;6;0;0;6;1;2;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;2;2;0;0;0;6;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;12;2;0;1;1;0;0;1;4;1;0;0;3;1;2;0;0;0;0;0;0;0;0;2;1;0;0;2;0;11;1;0;9;1;0;0;0;4;3;2;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;6;0;1;0;3;1;3;2;1;1;0;2;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
13298-7098;insucesso;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15217-7098;SUCESSO;2;1;1;1;30;1;6;0;1;1;0;0;0;4;5;0;0;5;0;3;1;0;0;0;0;0;0;0;0;6;0;0;1;0;0;2;2;2;0;3;3;1;0;0;11;1;0;2;0;4;1;2;2;0;0;1;0;0;8;3;14;2;1;0;0;1;1;0;7;1;0;0;2;0;1;0;0;0;0;0;0;0;1;2;1;0;0;1;0;17;2;1;12;0;1;1;0;7;2;1;0;0;0;1;0;0;0;1;1;1;4;3;0;0;1;3;2;0;0;22;0;2;0;14;1;7;5;2;1;2;8;0;0;0;2;2;1;2;1;19;1;0;2;2;2;1;5;1;1;1;0;2;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0
18184-7098;insucesso;1;0;1;1;15;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;7;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;6;1;1;0;0;0;0;0;0;0;0;0;4;1;0;3;0;0;0
18208-7098;insucesso;0;0;0;0;22;1;3;0;0;0;0;1;0;0;7;1;0;3;0;2;0;0;0;1;0;0;1;6;1;1;0;0;0;0;0;0;2;2;1;2;2;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;8;2;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;5;2;0;0;3;0;0;0;0;0;1;8;1;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18523-7274;SUCESSO;0;0;0;0;68;4;7;0;0;2;0;0;0;0;17;0;0;13;0;6;3;2;1;3;0;0;0;5;0;20;1;2;4;2;0;3;1;1;0;5;5;1;1;0;22;0;0;1;0;1;0;4;2;0;0;0;0;0;0;0;55;4;2;2;2;0;0;1;20;1;0;0;10;0;6;3;2;1;1;3;0;1;9;5;3;3;0;16;0;58;1;2;38;2;0;0;0;14;7;3;1;0;0;2;2;1;6;7;5;1;4;1;2;1;1;2;1;0;0;35;0;1;0;14;0;9;6;2;2;2;18;0;0;0;2;2;2;3;1;67;0;3;8;4;2;1;26;4;12;6;0;1;0;0;0;20;0;0;8;0;3;0;0;0;0;0;0;7;1;0;13;0;0;0
18875-7118;SUCESSO;0;0;0;0;64;2;10;0;4;3;0;0;0;0;27;0;0;15;1;12;9;4;2;2;2;0;0;3;0;11;0;0;3;2;0;0;2;0;0;12;12;7;4;0;17;0;0;1;0;6;2;7;5;5;0;2;0;0;0;0;31;15;4;7;4;7;7;2;21;7;6;6;17;6;10;8;6;4;4;1;0;1;2;1;1;2;0;2;0;41;1;3;26;1;1;1;0;19;16;10;8;6;4;0;0;1;0;5;5;4;4;2;0;0;1;2;1;0;1;5;0;1;0;4;1;4;3;3;2;0;9;1;0;0;1;2;1;3;0;34;0;1;6;2;1;0;11;3;6;1;0;0;0;0;0;3;1;0;1;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0
18900-7118;insucesso;0;0;0;0;22;0;3;0;0;1;0;0;1;0;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;0;3;3;0;0;0;15;0;0;0;0;3;3;5;1;0;0;3;1;0;0;0;16;0;0;0;0;0;0;0;7;0;0;0;4;0;4;4;3;2;0;0;0;0;2;0;0;1;1;2;0;18;0;5;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;29;0;4;2;0;0;1;10;1;6;4;3;0;0;0;0;10;1;0;0;0;3;3;0;0;0;0;0;2;0;0;5;0;0;1
20306-7274;insucesso;1;0;1;1;13;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;1;0;6;1;0;1;0;0;0;3;1;1;1;1;1;0;0;1;7;0;0;2;2;6;3;0;0;0;0;0;1;0;0;2;0;0;1
