320;14874-6547;SUCESSO;4>
552;20415-4224;;4>
753;21853-6019;;4>
754;21853-6019;;4>
930;22450-4429;;4>
1700;27548-6547;;4>
2381;29648-5786;;4>
2510;30588-4224;;4>
2900;30696-4224;;4>
3020;30769-4429;;4>
3124;30774-4428;;4>
3343;30777-4429;;4>
3412;30777-4429;;4>
3622;30799-4224;;4>
3755;30800-4428;;4>
3760;30800-4428;;4>
3781;30800-4428;;4>
3792;30800-4428;;4>
3793;30800-4428;;4>
3805;30800-4428;;4>
3846;30800-4428;;4>
4270;30823-4224;;4>
4274;30823-4224;;4>
4276;30823-4224;;4>
4292;30823-4224;;4>
4297;30823-4224;;4>
4305;30823-4224;;4>
4470;30834-4224;;4>
4577;30864-4428;;4>
4751;30869-4428;;4>
5290;30969-4224;;4>
5367;30975-4428;;4>
5370;30975-4428;;4>
5371;30975-4428;;4>
5374;30975-4428;;4>
5403;30975-4428;;4>
5616;30988-4224;;4>
5629;30988-4224;;4>
5845;31031-4224;;4>
6039;31083-4429;;4>
6116;31093-4428;;4>
6545;31158-4224;;4>
6631;31158-4224;;4>
6887;31172-4428;;4>
6932;31172-4428;;4>
7148;31210-4224;;4>
7195;31216-4224;;4>
7208;31216-4224;;4>
7559;31255-4224;;4>
7738;31311-4429;;4>
8147;31369-4429;;4>
8251;31370-4224;;4>
8356;31380-4428;;4>
8659;31423-4429;;4>
8674;31423-4429;;4>
8931;31453-4429;;4>
9175;31464-4429;;4>
9542;31493-4224;;4>
9555;31493-4224;;4>
9561;31493-4224;;4>
9577;31493-4224;;4>
9594;31493-4224;;4>
9769;31508-4224;;4>
9771;31508-4224;;4>
9821;31510-4428;;4>
10061;31524-4429;;4>
10115;31525-4224;;4>
10297;31547-4428;;4>
10382;31549-4428;;4>
10466;31549-4428;;4>
10540;31563-4224;;4>
10773;31586-4428;;4>
10859;31589-4224;;4>
10875;31589-4224;;4>
10881;31589-4224;;4>
11058;31604-4224;;4>
11406;31673-4428;;4>
11683;31692-4428;;4>
11710;31697-4428;;4>
11783;31704-4428;;4>
11919;31728-4224;;4>
11922;31728-4224;;4>
11983;31728-4224;;4>
12016;31728-4224;;4>
12020;31728-4224;;4>
12024;31728-4224;;4>
12041;31728-4224;;4>
12152;31740-4428;;4>
12158;31740-4428;;4>
12180;31740-4428;;4>
12419;31755-4224;;4>
12505;31759-4428;;4>
12507;31759-4428;;4>
12510;31759-4428;;4>
12515;31759-4428;;4>
12517;31759-4428;;4>
12534;31759-4428;;4>
12535;31759-4428;;4>
12558;31760-4428;;4>
12648;31762-4429;;4>
12662;31762-4429;;4>
12837;31774-4224;;4>
12887;31774-4224;;4>
12971;31774-4224;;4>
12993;31776-4224;;4>
12997;31776-4224;;4>
13012;31776-4224;;4>
13105;31784-4429;;4>
13195;31802-4224;;4>
13240;31802-4224;;4>
13401;31816-4224;;4>
13407;31816-4224;;4>
13590;31833-4224;;4>
13724;31836-4224;;4>
13797;31861-4428;;4>
13809;31861-4428;;4>
13931;31876-4429;;4>
13944;31876-4429;;4>
14075;31888-4428;;4>
14487;32029-4428;;4>
14493;32029-4428;;4>
14588;32045-4224;;4>
14721;32082-4428;;4>
14725;32082-4428;;4>
14740;32082-4428;;4>
14783;32082-4428;;4>
14941;32128-4224;;4>
15141;32525-4428;;4>
15146;32525-4428;;4>
15147;32525-4428;;4>
15307;32891-4428;;4>
15319;32891-4428;;4>
15532;33521-4429;;4>
15681;35944-5786;;4>
335;14874-6547;;6>
337;14874-6547;;6>
409;15054-7111;;6>
410;15054-7111;;6>
411;15054-7111;;6>
412;15054-7111;;6>
414;15054-7111;;6>
426;15054-7111;;6>
427;15054-7111;;6>
428;15054-7111;;6>
429;15054-7111;;6>
554;20415-4224;;6>
558;20415-4224;;6>
561;20415-4224;;6>
562;20415-4224;;6>
564;20415-4224;;6>
566;20415-4224;;6>
567;20415-4224;;6>
568;20415-4224;;6>
569;20415-4224;;6>
571;20415-4224;;6>
572;20415-4224;;6>
573;20415-4224;;6>
574;20415-4224;;6>
575;20415-4224;;6>
576;20415-4224;;6>
577;20415-4224;;6>
578;20415-4224;;6>
579;20415-4224;;6>
580;20415-4224;;6>
581;20415-4224;;6>
582;20415-4224;;6>
583;20415-4224;;6>
1038;23467-4429;;6>
1039;23467-4429;;6>
1040;23467-4429;;6>
1041;23467-4429;;6>
1042;23467-4429;;6>
1043;23467-4429;;6>
1044;23467-4429;;6>
1104;24701-4429;;6>
1105;24701-4429;;6>
1106;24701-4429;;6>
1107;24701-4429;;6>
1108;24701-4429;;6>
1109;24701-4429;;6>
1110;24701-4429;;6>
1111;24701-4429;;6>
1112;24701-4429;;6>
1114;24701-4429;;6>
1115;24701-4429;;6>
1116;24701-4429;;6>
1117;24701-4429;;6>
1118;24701-4429;;6>
1119;24701-4429;;6>
1120;24701-4429;;6>
1356;26766-5786;;6>
1357;26766-5786;;6>
1359;26766-5786;;6>
1361;26766-5786;;6>
1718;27766-4429;;6>
1719;27766-4429;;6>
1720;27766-4429;;6>
1721;27766-4429;;6>
1722;27766-4429;;6>
1723;27766-4429;;6>
1724;27766-4429;;6>
1725;27766-4429;;6>
1726;27766-4429;;6>
1727;27766-4429;;6>
2376;29648-5786;;6>
2481;30588-4224;;6>
2485;30588-4224;;6>
2486;30588-4224;;6>
2487;30588-4224;;6>
2488;30588-4224;;6>
2490;30588-4224;;6>
2491;30588-4224;;6>
2492;30588-4224;;6>
2494;30588-4224;;6>
2495;30588-4224;;6>
2497;30588-4224;;6>
2498;30588-4224;;6>
2823;30662-4224;;6>
2824;30662-4224;;6>
2825;30662-4224;;6>
2826;30662-4224;;6>
2827;30662-4224;;6>
2828;30662-4224;;6>
2829;30662-4224;;6>
3028;30769-4429;;6>
3029;30769-4429;;6>
